LEMMA	TITLE	COGID	COLUMN	CENTER	KIND
AB_end(24)	Abend	1	2	a	V
AB_end(24)	Abend	1	3	b	C
AB_end(24)	Nacht	2	1	n	C
AB_end(24)	Nacht	2	2	a	V
AB_end(24)	Nacht	2	3	ch	C
AB_end(24)	Nacht	2	4	t	C
AFF_e(11)	Affe	1	4	a	V
AFF_e(11)	Affe	1	5	ff	C
ALL_e(38)	alle	1	2	a	V
ALL_e(38)	alle	1	3	ll	L
ALS(20)	als	1	2	a	V
ALS(20)	als	1	3	l	L
ALS(20)	als	1	4	s	C
ALS(20)	wie	2	2	w	C
ALS(20)	wie	2	3	ie	V
ALT_e(4)	alt	1	2	a	V
ALT_e(4)	alt	1	3	l	L
ALT_e(4)	alt	1	4	t	C
ALT_e(4)	alt	1	5	e	e
ALT_e(4)	alt	1	6	-	C
AN(3)	an	1	2	a	V
AN(3)	an	1	3	n	C
AND_ern(15)	Andern	1	2	a	V
AND_ern(15)	Andern	1	3	n	C
AND_ern(15)	Andern	1	4	d	C
ÄPFEL_chen(26)	Äpfel	1	2	ä	V
ÄPFEL_chen(26)	Äpfel	1	3	pf	C
ÄPFEL_chen(26)	Äpfel	1	4	e	V
ÄPFEL_chen(26)	Äpfel	1	5	-	C
ÄPFEL_chen(26)	Äpfel	1	6	l	L
AUCH(9)	auch	1	2	au	V
AUCH(9)	auch	1	3	ch	C
AUF(32)	auf	1	2	au	V
AUF(32)	auf	1	3	f	C
AUG_enblick(27)	Auge	1	2	au	V
AUG_enblick(27)	Auge	1	3	g	C
AUG_enblick(27)	bisschen	3	1	b	C
AUG_enblick(27)	bisschen	3	2	i	V
AUG_enblick(27)	bisschen	3	3	-	C
AUG_enblick(27)	bisschen	3	4	s	C
AUG_enblick(27)	bisschen	3	7	ch	C
AUG_enblick(27)	bisschen	3	8	e	V
AUG_enblick(27)	Weile	4	2	w	C
AUG_enblick(27)	Weile	4	3	ei	V
AUG_enblick(27)	Weile	4	4	l	L
AUG_enblick(27)	Weile	4	5	e	V
AUG_enblick(27)	wenig	5	1	w	C
AUG_enblick(27)	wenig	5	2	e	V
AUG_enblick(27)	wenig	5	3	n	C
AUG_enblick(27)	wenig	5	4	i	V
AUG_enblick(27)	wenig	5	5	g	C
AUS(16)	aus	1	2	au	V
AUS(16)	aus	1	3	s	C
apfel_BÄUM(26)	Bäume	1	1	b	C
apfel_BÄUM(26)	Bäume	1	2	äu	V
apfel_BÄUM(26)	Bäume	1	3	m	C
BALD(3)	bald	1	1	b	C
BALD(3)	bald	1	2	a	V
BALD(3)	bald	1	3	l	L
BALD(3)	bald	1	4	d	C
BAU_en(33)	bauen	1	1	b	C
BAU_en(33)	bauen	1	2	au	V
BAU_en(33)	bauen	1	3	-	C
BAU_ern(37)	Bauern	1	1	b	C
BAU_ern(37)	Bauern	1	2	au	V
BEI(9)	bei	1	1	b	C
BEI(9)	bei	1	2	ei	V
BESS_er(18)	besser	1	1	b	C
BESS_er(18)	besser	1	2	e	V
BESS_er(18)	besser	1	3	ss	C
BERG_e(29)	Berg	1	2	b	C
BERG_e(29)	Berg	1	3	e	V
BERG_e(29)	Berg	1	4	r	L
BERG_e(29)	Berg	1	5	-	C
BERG_e(29)	Berg	1	6	-	C
BERG_e(29)	Berg	1	7	g	C
BEISS_en(14)	beissen	1	1	b	C
BEISS_en(14)	beissen	1	2	ei	V
BEISS_en(14)	beissen	1	4	ss	C
BLÄTT_er(1)	Blätter	1	1	b	C
BLÄTT_er(1)	Blätter	1	2	l	L
BLÄTT_er(1)	Blätter	1	3	ä	V
BLÄTT_er(1)	Blätter	1	4	tt	C
BLÄTT_er(1)	Laub	2	1	l	L
BLÄTT_er(1)	Laub	2	2	au	V
BLÄTT_er(1)	Laub	2	3	b	C
BLEIB(14)	bleib	1	1	b	C
BLEIB(14)	bleib	1	2	l	L
BLEIB(14)	bleib	1	3	ei	V
BLEIB(14)	bleib	1	4	b	C
ge_BLIEB_en(25)	geblieben	1	1	b	C
ge_BLIEB_en(25)	geblieben	1	2	l	L
ge_BLIEB_en(25)	geblieben	1	3	ie	V
ge_BLIEB_en(25)	geblieben	1	4	b	C
BÖ_sen(14)	böse	1	1	b	C
BÖ_sen(14)	böse	1	2	ö	V
BÖ_sen(14)	böse	1	3	s	C
BÖ_sen(14)	doll	2	1	d	C
BÖ_sen(14)	doll	2	2	o	V
BÖ_sen(14)	doll	2	3	ll	L
BÖ_sen(14)	kwaad	3	1	kw	C
BÖ_sen(14)	kwaad	3	2	aa	V
BÖ_sen(14)	kwaad	3	3	d	C
BÖ_sen(14)	schlecht	6	1	sch	C
BÖ_sen(14)	schlecht	6	2	l	L
BÖ_sen(14)	schlecht	6	3	e	V
BÖ_sen(14)	schlecht	6	4	ch	C
BÖ_sen(14)	schlecht	6	5	t	C
BÖ_sen(14)	schlimme	7	1	sch	C
BÖ_sen(14)	schlimme	7	2	l	L
BÖ_sen(14)	schlimme	7	3	i	V
BÖ_sen(14)	schlimme	7	4	mm	C
BÖ_sen(14)	schlimme	7	5	e	V
ge_BRACH_t(37)	gebracht	1	1	b	C
ge_BRACH_t(37)	gebracht	1	2	r	L
ge_BRACH_t(37)	gebracht	1	3	a	V
ge_BRACH_t(37)	gebracht	1	4	ch	C
ge_BRACH_t(37)	geführt	2	4	f	C
ge_BRACH_t(37)	geführt	2	5	üh	V
ge_BRACH_t(37)	geführt	2	6	r	L
ge_BRACH_t(37)	geführt	2	9	t	C
ge_BRACH_t(37)	getrieben	3	4	t	C
ge_BRACH_t(37)	getrieben	3	5	r	L
ge_BRACH_t(37)	getrieben	3	6	ie	V
ge_BRACH_t(37)	getrieben	3	7	b	C
ge_BRACH_t(37)	getrieben	3	9	n	C
ge_BRANN_t(6)	gebrannt	1	2	b	C
ge_BRANN_t(6)	gebrannt	1	3	r	L
ge_BRANN_t(6)	gebrannt	1	4	a	V
ge_BRANN_t(6)	gebrannt	1	8	n	C
BRAUN_e(39)	braune	1	1	b	C
BRAUN_e(39)	braune	1	2	r	L
BRAUN_e(39)	braune	1	3	au	V
BRAUN_e(39)	braune	1	4	n	C
ge_BROCH_en(4)	gebrochen	1	1	b	C
ge_BROCH_en(4)	gebrochen	1	2	r	L
ge_BROCH_en(4)	gebrochen	1	3	o	V
ge_BROCH_en(4)	gebrochen	1	4	ch	C
BROT(30)	Brot	1	1	b	C
BROT(30)	Brot	1	2	r	L
BROT(30)	Brot	1	3	o	V
BROT(30)	Brot	1	5	t	C
BRUD_er(33)	Bruder	1	1	b	C
BRUD_er(33)	Bruder	1	2	r	L
BRUD_er(33)	Bruder	1	3	u	V
BRUD_er(33)	Bruder	1	4	d	C
DAS(35)	das	1	1	d	C
DAS(35)	das	1	2	a	V
DAS(35)	das	1	3	s	C
DEIN_er(17)	deiner	1	1	d	C
DEIN_er(17)	deiner	1	2	ei	V
DEIN_er(17)	deiner	1	3	n	C
DICH(14)	dich	1	1	d	C
DICH(14)	dich	1	2	i	V
DICH(14)	dich	1	3	ch	C
DIE_akk_sg(21)	die-sg	1	1	d	C
DIE_akk_sg(21)	die-sg	1	2	ie	V
DIE_akk_sg(21)	die-sg	1	3	-	C
DIE_akk_pl(37)	die-pl	1	1	d	C
DIE_akk_pl(37)	die-pl	1	2	ie	V
DIE_akk_pl(37)	die-pl	1	3	-	C
DORF(37)	Dorf	1	1	d	C
DORF(37)	Dorf	1	2	o	V
DORF(37)	Dorf	1	3	r	L
DORF(37)	Dorf	1	4	-	V
DORF(37)	Dorf	1	5	f	C
DREI(26)	drei	1	1	d	C
DREI(26)	drei	1	2	r	L
DREI(26)	drei	1	3	ei	V
DRESCH_en(20)	dreschen	1	1	d	C
DRESCH_en(20)	dreschen	1	2	r	L
DRESCH_en(20)	dreschen	1	3	e	V
DRESCH_en(20)	dreschen	1	4	r	L
DRESCH_en(20)	dreschen	1	5	sch	C
DU_affe(11)	du	1	1	d	C
DU_affe(11)	du	1	2	u	V
DÜRF_t(28)	dürft	1	1	d	C
DÜRF_t(28)	dürft	1	2	r	L
DÜRF_t(28)	dürft	1	3	ü	V
DÜRF_t(28)	dürft	1	4	r	L
DÜRF_t(28)	dürft	1	5	-	V
DÜRF_t(28)	dürft	1	6	f	C
DU_hast(16)	du	1	1	d	C
DU_hast(16)	du	1	2	u	V
DURST(23)	durst	1	1	d	C
DURST(23)	durst	1	2	u	V
DURST(23)	durst	1	3	r	L
DURST(23)	durst	1	4	s	C
DURST(23)	durst	1	5	t	C
EIER(7)	Eier	1	1	ei	V
EIER(7)	Eier	1	2	-	C
EIS(4)	Eis	1	1	ei	V
EIS(4)	Eis	1	2	s	C
FÄNG_t(3)	fängt	1	1	f	C
FÄNG_t(3)	fängt	1	2	ä	V
FÄNG_t(3)	fängt	1	3	n	C
FÄNG_t(3)	fangt	1	4	g	C
FÄNG_t(3)	anhebt	3	1	a	V
