LEMMA	TITLE	COGID	COLUMN	CENTER	KIND
FÄNG_t(3)	anhebt	3	2	n	C
FÄNG_t(3)	anhebt	3	3	h	C
FÄNG_t(3)	anhebt	3	4	e	V
FÄNG_t(3)	anhebt	3	5	b	C
FÄNG_t(3)	anhebt	3	7	t	C
FÄNG_t(3)	kommt	4	1	k	C
FÄNG_t(3)	kommt	4	2	o	V
FÄNG_t(3)	kommt	4	3	mm	C
FÄNG_t(3)	kommt	4	4	t	C
FÄNG_t(3)	wird	6	1	w	C
FÄNG_t(3)	wird	6	2	ir	V
FÄNG_t(3)	wird	6	3	d	C
FELD_e(38)	Feld	1	1	f	C
FELD_e(38)	Feld	1	2	e	V
FELD_e(38)	Feld	1	3	l	L
FELD_e(38)	Feld	1	4	d	C
FEST(24)	fest	1	1	f	C
FEST(24)	fest	1	2	e	V
FEST(24)	fest	1	3	s	C
FEST(24)	fest	1	4	t	C
FEUER(6)	Feuer	1	1	f	C
FEUER(6)	Feuer	1	2	eu	V
FEUER(6)	Feuer	1	4	e	V
FEUER(6)	Feuer	1	5	r	L
FEUER(6)	Hitze	4	1	h	C
FEUER(6)	Hitze	4	2	i	V
FEUER(6)	Hitze	4	3	tz	C
ge_FAHR_en(40)	gefahren	1	1	f	C
ge_FAHR_en(40)	gefahren	1	2	ah	V
ge_FAHR_en(40)	gefahren	1	3	r	L
ge_FAHR_en(40)	gekarrt	3	1	k	C
ge_FAHR_en(40)	gekarrt	3	2	a	V
ge_FAHR_en(40)	gekarrt	3	3	r	L
ge_FAHR_en(40)	gekarrt	3	4	t	C
ge_FALL_en(4)	gefallen	1	1	f	C
ge_FALL_en(4)	gefallen	1	2	a	V
ge_FALL_en(4)	gefallen	1	3	ll	L
ge_FALL_en(4)	gheit	2	1	gh	C
ge_FALL_en(4)	gheit	2	2	ei	V
ge_FALL_en(4)	gheit	2	3	t	C
FLEISCH(19)	Fleisch	1	1	f	C
FLEISCH(19)	Fleisch	1	2	l	L
FLEISCH(19)	Fleisch	1	3	ei	V
FLEISCH(19)	Fleisch	1	4	sch	C
FLIEG_en(1)	fliegen	1	1	f	C
FLIEG_en(1)	fliegen	1	2	l	L
FLIEG_en(1)	fliegen	1	3	ie	V
FLIEG_en(1)	fliegen	1	4	g	C
FRAU(9)	Frau	1	1	f	C
FRAU(9)	Frau	1	2	r	L
FRAU(9)	Frau	1	3	au	V
FRAU(9)	Frau	1	4	-	C
FRAU(9)	Frau	1	5	-	V
FRAU(9)	Weib	2	1	w	C
FRAU(9)	Weib	2	2	ei	V
FRAU(9)	Weib	2	3	b	C
FÜNF(37)	fünf	1	1	f	C
FÜNF(37)	fünf	1	2	ü	V
FÜNF(37)	fünf	1	3	n	C
FÜNF(37)	fünf	1	4	-	V
FÜNF(37)	fünf	1	5	f	C
FÜR(17)	für	1	1	f	C
FÜR(17)	für	1	2	ü	V
FÜR(17)	für	1	3	r	L
ge_FUND_en(32)	gefunden	1	2	f	C
ge_FUND_en(32)	gefunden	1	3	u	V
ge_FUND_en(32)	gefunden	1	4	n	C
ge_FUND_en(32)	gefunden	1	5	d	C
GART_en(33)	Garten	1	2	g	C
GART_en(33)	Garten	1	4	a	V
GART_en(33)	Garten	1	5	r	L
GART_en(33)	Garten	1	6	-	C
GART_en(33)	Garten	1	8	t	C
GEH_n(12)	gehen	1	1	g	C
GEH_n(12)	gehen	1	2	eh	V
GEH_n(12)	mitkommen	2	1	m	C
GEH_n(12)	mitkommen	2	2	i	V
GEH_n(12)	mitkommen	2	3	t	C
GEH_n(12)	mitkommen	2	4	k	C
GEH_n(12)	mitkommen	2	5	o	V
GEH_n(12)	mitkommen	2	6	mm	C
GEH_n(12)	mitkommen	2	7	e	e
GEH_n(12)	mitkommen	2	8	m	C
GEST_ern(24)	gestern	1	2	g	C
GEST_ern(24)	gestern	1	3	e	V
GEST_ern(24)	gestern	1	4	-	C
GEST_ern(24)	gestern	1	5	s	C
GEST_ern(24)	gestern	1	7	t	C
GEST_ern(24)	nachts	2	2	n	C
GEST_ern(24)	nachts	2	3	a	V
GEST_ern(24)	nachts	2	4	ch	C
GEST_ern(24)	nachts	2	5	t	C
GEST_ern(24)	nachts	2	6	-	C
GEST_ern(24)	nachts	2	7	s	C
GÄNS_e(14)	Gänse	1	1	g	C
GÄNS_e(14)	Gänse	1	2	ä	V
GÄNS_e(14)	Gänse	1	3	n	C
GÄNS_e(14)	Gänse	1	5	s	C
GLAUB_e(8)	glaube	1	1	g	C
GLAUB_e(8)	glaube	1	2	-	C
GLAUB_e(8)	glaube	1	3	l	L
GLAUB_e(8)	glaube	1	4	au	V
GLAUB_e(8)	glaube	1	5	b	C
GLAUB_e(8)	glaube	1	6	e	e
GLAUB_e(8)	meine	3	1	m	C
GLAUB_e(8)	meine	3	2	ei	V
GLAUB_e(8)	meine	3	3	n	C
GLEICH(2)	gleich	1	1	g	C
GLEICH(2)	gleich	1	2	-	C
GLEICH(2)	gleich	1	3	l	L
GLEICH(2)	gleich	1	4	ei	V
GLEICH(2)	gleich	1	5	ch	C
GROSS(16)	gross	1	1	g	C
GROSS(16)	gross	1	2	-	C
GROSS(16)	gross	1	3	r	L
GROSS(16)	gross	1	4	o	V
GROSS(16)	gross	1	5	ss	C
GRÖSS_er(16)	grösser	1	1	g	C
GRÖSS_er(16)	grösser	1	2	-	C
GRÖSS_er(16)	grösser	1	3	r	L
GRÖSS_er(16)	grösser	1	4	ö	V
GRÖSS_er(16)	grösser	1	5	ss	C
GUT(17)	gut	1	1	g	C
GUT(17)	gut	1	2	u	V
GUT(17)	gut	1	3	t	C
HAUS_e(15)	Haus	1	1	h	C
HAUS_e(15)	Haus	1	2	au	V
HAUS_e(15)	Haus	1	3	s	C
HA_t(19)	hat	1	1	h	C
HA_t(19)	hat	1	2	a	V
HA_t(19)	hat	1	3	-	C
HEISS(6)	heiss	1	1	h	C
HEISS(6)	heiss	1	2	ei	V
HEISS(6)	heiss	1	3	ss	C
HEISS(6)	stark	6	2	s	C
HEISS(6)	stark	6	3	t	C
HEISS(6)	stark	6	4	a	V
HEISS(6)	stark	6	5	r	L
HEISS(6)	stark	6	6	-	C
HEISS(6)	stark	6	7	k	C
HERZ_en(34)	Herz	1	1	h	C
HERZ_en(34)	Herz	1	2	e	V
HERZ_en(34)	Herz	1	3	r	L
HERZ_en(34)	Herz	1	4	-	C
HERZ_en(34)	Herz	1	5	z	C
HOCH(29)	hoch	1	1	h	C
HOCH(29)	hoch	1	2	o	V
HOCH(29)	hoch	1	3	ch	C
HÄUS_er(33)	Häuser	1	1	h	C
HÄUS_er(33)	Häuser	1	2	äu	V
HÄUS_er(33)	Häuser	1	3	s	C
HÖH_er(29)	höher	1	1	h	C
HÖH_er(29)	höher	1	2	ö	V
HÖH_er(29)	höher	1	3	ch	C
HÖH_er(29)	höher	1	4	-	C
HÖR_t(2)	hör	1	1	h	C
HÖR_t(2)	hör	1	2	ö	V
HÖR_t(2)	hör	1	3	r	L
HÖR_t(2)	hör	1	4	-	C
ICH(10)	ich	1	1	i	V
ICH(10)	ich	1	2	ch	C
IST(5)	ist	1	2	i	V
IST(5)	ist	1	3	s	C
IST(5)	ist	1	4	-	C
ISST(7)	isst	1	3	i	V
ISST(7)	isst	1	4	ss	C
ISST(7)	isst	1	6	t	C
JA(6)	ja	1	2	j	C
JA(6)	ja	1	3	a	V
KALT_e(4)	kalte	1	1	k	C
KALT_e(4)	kalte	1	2	a	V
KALT_e(4)	kalte	1	3	l	L
KALT_e(4)	kalte	1	4	t	C
KALT_e(4)	kalte	1	5	e	V
KALT_e(4)	kalte	1	6	-	C
KEIN(32)	kein	1	1	-	C
KEIN(32)	kein	1	2	-	C
KEIN(32)	kein	1	3	k	C
KEIN(32)	kein	1	4	ei	V
KEIN(32)	kein	1	5	n	C
KIND(14)	Kind	1	1	k	C
KIND(14)	Kind	1	2	i	V
KIND(14)	Kind	1	3	n	C
KIND(14)	Kind	1	4	d	C
KOCH_löffel(11)	Kochlöffel	1	1	k	C
KOCH_löffel(11)	Kochlöffel	1	2	o	V
KOCH_löffel(11)	Kochlöffel	1	3	ch	C
koch_LÖFF_el(11)	Kochlöffel	1	1	-	C
koch_LÖFF_el(11)	Kochlöffel	1	2	l	L
koch_LÖFF_el(11)	Kochlöffel	1	3	ö	V
koch_LÖFF_el(11)	Kochlöffel	1	4	ff	C
koch_LÖFF_el(11)	Kelle	5	1	k	C
koch_LÖFF_el(11)	Kelle	5	2	e	V
koch_LÖFF_el(11)	Kelle	5	3	ll	L
koch_LÖFF_el(11)	Kelle	5	4	e	V
KOHL_en(3)	Kohle	1	1	k	C
KOHL_en(3)	Kohle	1	2	oh	V
KOHL_en(3)	Kohle	1	3	l	L
ge_KOMM_en(18)	gekommen	1	1	k	C
ge_KOMM_en(18)	gekommen	1	2	o	V
ge_KOMM_en(18)	gekommen	1	3	mm	C
KÜH_e(37)	Kühe	1	1	k	C
KÜH_e(37)	Kühe	1	2	üh	V
KÜH_e(37)	Kühe	1	3	-	C
ver_KAUF_en(37)	verkaufen	1	1	k	C
ver_KAUF_en(37)	verkaufen	1	2	au	V
ver_KAUF_en(37)	verkaufen	1	3	f	C
ge_KANN_t(18)	gekannt	1	2	k	C
ge_KANN_t(18)	gekannt	1	3	a	V
ge_KANN_t(18)	gekannt	1	4	nn	C
ge_LAUF_en(8)	gelaufen	1	2	l	L
ge_LAUF_en(8)	gelaufen	1	3	au	V
ge_LAUF_en(8)	gelaufen	1	4	f	C
ge_LAUF_en(8)	gerannt	9	2	r	L
ge_LAUF_en(8)	gerannt	9	3	a	V
ge_LAUF_en(8)	gerannt	9	4	nn	C
ge_LAUF_en(8)	gerannt	9	5	t	C
LIEB_es(14)	liebes	1	1	l	L
LIEB_es(14)	liebes	1	2	ie	V
LIEB_es(14)	liebes	1	3	b	C
LIEB_es(14)	liebes	1	4	e	e
LIEB_es(14)	liebes	1	5	s	C
LIEG_en(25)	liegen	1	2	l	L
LIEG_en(25)	liegen	1	3	ie	V
LIEG_en(25)	liegen	1	4	g	C
LEUT_e(38)	Leute	1	1	l	L
LEUT_e(38)	Leute	1	2	eu	V
LEUT_e(38)	Leute	1	3	-	C
LEUT_e(38)	Leute	1	4	t	C
LUFT(1)	Luft	1	1	l	L
LUFT(1)	Luft	1	2	u	V
LUFT(1)	Luft	1	3	f	C
LUFT(1)	Luft	1	4	t	C
MACH_en(17)	machen	1	1	m	C
MACH_en(17)	machen	1	2	a	V
MACH_en(17)	machen	1	3	ch	C
MANN(4)	Mann	1	1	m	C
MANN(4)	Mann	1	2	a	V
MANN(4)	Mann	1	3	nn	C
MEIN(14)	mein	1	1	m	C
MEIN(14)	mein	1	2	ei	V
MEIN(14)	mein	1	3	n	C
MILCH(3)	Milch	1	1	m	C
MILCH(3)	Milch	1	2	i	V
MILCH(3)	Milch	1	3	l	L
MILCH(3)	Milch	1	4	-	C
MILCH(3)	Milch	1	5	ch	C
MIT(40)	mit	1	1	m	C
MIT(40)	mit	1	2	i	V
MIT(40)	mit	1	3	t	C
MUSS(22)	muss	1	1	m	C
MUSS(22)	muss	1	2	u	V
MUSS(22)	muss	1	3	ss	C
MUTT_er(17)	Mutter	1	1	m	C
MUTT_er(17)	Mutter	1	2	u	V
MUTT_er(17)	Mutter	1	4	tt	C
MUTT_er(17)	Mutter	1	5	r	L
NÄH_en(17)	nähen	1	1	n	C
NÄH_en(17)	nähen	1	2	ä	V
NÄH_en(17)	nähen	1	3	-	C
NÄH_en(17)	machen	2	1	m	C
NÄH_en(17)	machen	2	2	a	V
NÄH_en(17)	machen	2	3	ch	C
NÄH_en(17)	machen	2	4	e	e
NÄH_en(17)	machen	2	5	n	C
ge_NUG(16)	genug	1	1	n	C
ge_NUG(16)	genug	1	2	u	V
ge_NUG(16)	genug	1	3	g	C
MÜDE(23)	müde	1	1	m	C
MÜDE(23)	müde	1	2	ü	V
MÜDE(23)	müde	1	3	d	C
MÜSS_t(31)	müsst	1	1	m	C
MÜSS_t(31)	müsst	1	2	ü	V
MÜSS_t(31)	müsst	1	3	ss	C
NEU_e(21)	neue	1	1	n	C
NEU_e(21)	neue	1	2	eu	V
NEU_e(21)	neue	1	3	-	C
OB_en(36)	oben	1	1	-	C
OB_en(36)	oben	1	2	o	V
OB_en(36)	oben	1	3	b	C
OCHS_en(37)	Ochsen	1	2	o	V
OCHS_en(37)	Ochsen	1	3	chs	C
OF_en(3)	Ofen	1	6	o	V
OF_en(3)	Ofen	1	7	f	C
OHN_e(7)	ohne	1	1	oh	V
OHN_e(7)	ohne	1	2	n	C
OHR_en(11)	Ohren	1	1	oh	V
OHR_en(11)	Ohren	1	2	r	L
PFEFF_er(7)	Pfeffer	1	1	pf	C
PFEFF_er(7)	Pfeffer	1	2	e	V
PFEFF_er(7)	Pfeffer	1	3	ff	C
PFUND(30)	Pfund	1	1	pf	C
PFUND(30)	Pfund	1	2	u	V
PFUND(30)	Pfund	1	3	n	C
PFUND(30)	Pfund	1	4	d	C
PFUND(30)	Kilo	3	1	k	C
PFUND(30)	Kilo	3	2	i	C
PFUND(30)	Kilo	3	3	l	L
PFUND(30)	Kilo	3	4	o	C
ROT_en(26)	rot	1	1	r	L
ROT_en(26)	rot	1	2	o	V
ROT_en(26)	rot	1	3	t	C
SALZ(7)	Salz	1	1	s	C
SALZ(7)	Salz	1	2	a	V
SALZ(7)	Salz	1	3	l	L
SALZ(7)	Salz	1	4	z	C
SCHLAF_en(24)	schlafen	1	1	sch	C
SCHLAF_en(24)	schlafen	1	2	l	L
SCHLAF_en(24)	schlafen	1	3	a	V
SCHLAF_en(24)	schlafen	1	4	f	C
SCHLECHT_e(13)	schlecht	1	1	sch	C
SCHLECHT_e(13)	schlecht	1	2	l	L
SCHLECHT_e(13)	schlecht	1	3	e	V
SCHLECHT_e(13)	schlecht	1	4	ch	C
SCHLECHT_e(13)	schlecht	1	5	t	C
ge_SCHMOLZ_en(25)	geschmolzen	1	1	sch	C
ge_SCHMOLZ_en(25)	geschmolzen	1	2	m	C
ge_SCHMOLZ_en(25)	geschmolzen	1	3	o	V
ge_SCHMOLZ_en(25)	geschmolzen	1	4	l	L
ge_SCHMOLZ_en(25)	geschmolzen	1	5	z	C
ge_SCHMOLZ_en(25)	getaut	2	4	t	C
ge_SCHMOLZ_en(25)	getaut	2	5	au	V
ge_SCHMOLZ_en(25)	getaut	2	6	-	C
ge_SCHMOLZ_en(25)	getaut	2	7	t	C
ge_SCHMOLZ_en(25)	gegangen	3	4	g	C
ge_SCHMOLZ_en(25)	gegangen	3	5	a	V
ge_SCHMOLZ_en(25)	gegangen	3	6	ng	C
ge_SCHMOLZ_en(25)	gegangen	3	7	e	e
ge_SCHMOLZ_en(25)	gegangen	3	8	n	C
SCHNEE(25)	Schnee	1	1	sch	C
SCHNEE(25)	Schnee	1	2	n	C
SCHNEE(25)	Schnee	1	3	ee	V
SCHNEI_en(2)	schneien	1	1	sch	C
SCHNEI_en(2)	schneien	1	2	n	C
SCHNEI_en(2)	schneien	1	3	ei	V
SCHNEI_en(2)	schneien	1	4	-	C
SCHWARZ(6)	schwarz	1	1	sch	C
SCHWARZ(6)	schwarz	1	2	w	C
SCHWARZ(6)	schwarz	1	3	a	V
SCHWARZ(6)	schwarz	1	4	r	L
SCHWARZ(6)	schwarz	1	5	z	C
SCHWEST_er(17)	Schwester	1	1	sch	C
SCHWEST_er(17)	Schwester	1	2	w	C
SCHWEST_er(17)	Schwester	1	3	e	V
SCHWEST_er(17)	Schwester	1	4	s	C
SCHWEST_er(17)	Schwester	1	5	t	C
SCHÖN_e(33)	schön	1	1	sch	C
SCHÖN_e(33)	schön	1	2	ö	V
SCHÖN_e(33)	schön	1	3	n	C
SCHÖN_e(33)	hübsch	2	1	h	C
SCHÖN_e(33)	hübsch	2	2	ü	C
SCHÖN_e(33)	hübsch	2	3	b	C
SCHÖN_e(33)	hübsch	2	4	sch	C
SCHÖN_e(33)	moi	3	1	m	C
SCHÖN_e(33)	moi	3	2	o	C
SCHÖN_e(33)	moi	3	3	i	C
SECHS(5)	sechs	1	1	s	C
SECHS(5)	sechs	1	2	e	V
SECHS(5)	sechs	1	3	chs	C
SEIF_e(32)	Seife	1	1	s	C
SEIF_e(32)	Seife	1	3	ei	V
SEIF_e(32)	Seife	1	4	f	C
SEIN(33)	sein	1	1	s	C
SEIN(33)	sein	1	2	ei	V
SEIN(33)	sein	1	3	n	C
SELB_st(20)	selbst	1	1	s	C
SELB_st(20)	selbst	1	2	e	V
SELB_st(20)	selbst	1	3	l	L
SELB_st(20)	selbst	1	4	-	C
SELB_st(20)	selbst	1	5	b	C
SELB_st(20)	selbst	1	6	-	C
SELB_st(20)	selbst	1	7	-	C
SELB_st(20)	selbst	1	8	s	C
SELB_st(20)	selbst	1	9	t	C
SELB_st(20)	alleine	2	1	a	V
SELB_st(20)	alleine	2	2	ll	L
SELB_st(20)	alleine	2	3	ei	V
SELB_st(20)	alleine	2	4	n	C
SELB_st(20)	alleine	2	5	e	e
SICH(33)	sich	1	1	s	C
SICH(33)	sich	1	2	i	V
SICH(33)	sich	1	3	-	C
SICH(33)	sich	1	4	ch	C
SICH(33)	ihm	2	2	ih	V
SICH(33)	ihm	2	3	m	C
SIE_3sg(17)	sie	1	1	s	C
SIE_3sg(17)	sie	1	2	ie	V
SIE_3sg(17)	sie	1	3	-	C
SITZ_en(36)	sitzen	1	1	s	C
SITZ_en(36)	sitzen	1	2	i	V
SITZ_en(36)	sitzen	1	4	tz	C
SITZ_en(36)	hocken	2	1	h	C
SITZ_en(36)	hocken	2	2	o	V
SITZ_en(36)	hocken	2	3	ck	C
SITZ_en(36)	hocken	2	4	e	e
SITZ_en(36)	hocken	2	5	n	C
SITZ_en(36)	hocken	2	6	-	C
SO(17)	so	1	1	s	C
SO(17)	so	1	2	o	V
SOLL_en_1pl(12)	sollen	1	1	s	C
SOLL_en_1pl(12)	sollen	1	2	o	V
SOLL_en_1pl(12)	sollen	1	3	ll	L
be_STELL_t(20)	bestellt	1	1	s	C
be_STELL_t(20)	bestellt	1	2	t	C
be_STELL_t(20)	bestellt	1	3	e	V
be_STELL_t(20)	bestellt	1	4	ll	L
ge_STOHL_en(19)	gestohlen	1	1	s	C
ge_STOHL_en(19)	gestohlen	1	2	t	C
ge_STOHL_en(19)	gestohlen	1	3	oh	V
ge_STOHL_en(19)	gestohlen	1	4	l	L
ge_STOHL_en(19)	gemaust	3	1	g	C
ge_STOHL_en(19)	gemaust	3	2	e	e
ge_STOHL_en(19)	gemaust	3	3	m	C
ge_STOHL_en(19)	gemaust	3	4	au	C
ge_STOHL_en(19)	gemaust	3	5	s	C
ge_STOHL_en(19)	gemaust	3	7	t	C
ge_STORB_en(5)	gestorben	1	1	s	C
ge_STORB_en(5)	gestorben	1	2	t	C
ge_STORB_en(5)	gestorben	1	3	o	V
ge_STORB_en(5)	gestorben	1	4	r	L
