KDSA	LONG_KDSA	LAT_KDSA	Bogennummer
014/221	22.6667	54.7500	01950
015/049	 8.3333	54.6667	46572
015/051	 8.5000	54.6667	46573
015/053	 8.6667	54.6667	46574
015/055	 8.8333	54.6667	46579
015/057	 9.0000	54.6667	46586
015/059	 9.1667	54.6667	46593
015/061	 9.3333	54.6667	46596
015/063	 9.5000	54.6667	46607
015/065	 9.6667	54.6667	46620
015/067	 9.8333	54.6667	46629
015/105	13.0000	54.6667	51143
015/107	13.1667	54.6667	51146
015/109	13.3333	54.6667	51151
015/151	16.8333	54.6667	52764
015/153	17.0000	54.6667	52766
015/155	17.1667	54.6667	52774
015/157	17.3333	54.6667	52780
015/159	17.5000	54.6667	52783
015/161	17.6667	54.6667	52793
015/163	17.8333	54.6667	52799
015/165	18.0000	54.6667	52806
015/167	18.1667	54.6667	52810
015/169	18.3333	54.6667	52813
015/173	18.6667	54.6667	52816
015/187	19.8333	54.6667	01953
015/191	20.1667	54.6667	01957
015/193	20.3333	54.6667	01960
015/195	20.5000	54.6667	01969
015/197	20.6667	54.6667	01957
015/199	20.8333	54.6667	01981
015/201	21.0000	54.6667	01988
015/203	21.1667	54.6667	01993
015/205	21.3333	54.6667	01997
015/207	21.5000	54.6667	02007
015/209	21.6667	54.6667	02012
015/211	21.8333	54.6667	02028
015/213	22.0000	54.6667	02036
015/215	22.1667	54.6667	02053
015/217	22.3333	54.6667	02061
015/219	22.5000	54.6667	02071
015/221	22.6667	54.6667	02079
016/051	 8.5000	54.5833	46636
016/055	 8.8333	54.5833	46640
016/057	 9.0000	54.5833	46649
016/059	 9.1667	54.5833	46656
016/061	 9.3333	54.5833	46661
016/063	 9.5000	54.5833	46607
016/065	 9.6667	54.5833	46681
016/067	 9.8333	54.5833	46689
016/081	11.0000	54.5833	46693
016/083	11.1667	54.5833	46698
016/105	13.0000	54.5833	51152
016/107	13.1667	54.5833	51155
016/109	13.3333	54.5833	51158
016/111	13.5000	54.5833	51161
016/145	16.3333	54.5833	52817
016/147	16.5000	54.5833	52826
016/149	16.6667	54.5833	52833
016/151	16.8333	54.5833	52834
016/153	17.0000	54.5833	52844
016/155	17.1667	54.5833	52856
016/157	17.3333	54.5833	52857
016/159	17.5000	54.5833	52861
016/161	17.6667	54.5833	52868
016/163	17.8333	54.5833	52874
016/165	18.0000	54.5833	52878
016/167	18.1667	54.5833	52882
016/187	19.8333	54.5833	02085
016/189	20.0000	54.5833	02089
016/191	20.1667	54.5833	02093
016/193	20.3333	54.5833	02100
016/195	20.5000	54.5833	02109
016/197	20.6667	54.5833	02113
016/199	20.8333	54.5833	02118
016/201	21.0000	54.5833	02120
016/203	21.1667	54.5833	02126
016/205	21.3333	54.5833	02133
016/209	21.6667	54.5833	02142
016/211	21.8333	54.5833	02147
016/213	22.0000	54.5833	02159
016/215	22.1667	54.5833	02166
016/217	22.3333	54.5833	02178
016/219	22.5000	54.5833	02196
017/055	 8.8333	54.5000	46501
017/057	 9.0000	54.5000	46505
017/059	 9.1667	54.5000	46510
017/061	 9.3333	54.5000	46518
017/063	 9.5000	54.5000	46529
017/065	 9.6667	54.5000	46537
017/067	 9.8333	54.5000	46541
017/069	10.0000	54.5000	46550
017/081	11.0000	54.5000	46563
017/083	11.1667	54.5000	46570
017/099	12.5000	54.5000	51169
017/101	12.6667	54.5000	51171
017/103	12.8333	54.5000	51172
017/107	13.1667	54.5000	51175
017/109	13.3333	54.5000	51181
017/145	16.3333	54.5000	52578
017/147	16.5000	54.5000	52593
017/149	16.6667	54.5000	52598
017/151	16.8333	54.5000	52606
017/153	17.0000	54.5000	52619
017/155	17.1667	54.5000	52626
017/157	17.3333	54.5000	52630
017/159	17.5000	54.5000	52636
017/161	17.6667	54.5000	52644
017/163	17.8333	54.5000	52649
017/165	18.0000	54.5000	52652
017/169	18.3333	54.5000	52661
017/171	18.5000	54.5000	52662
017/183	19.5000	54.5000	02199
017/185	19.6667	54.5000	02201
017/187	19.8333	54.5000	02208
017/189	20.0000	54.5000	02215
017/191	20.1667	54.5000	02219
017/193	20.3333	54.5000	02222
017/195	20.5000	54.5000	02230
017/197	20.6667	54.5000	02239
017/199	20.8333	54.5000	02246
017/201	21.0000	54.5000	02255
017/203	21.1667	54.5000	02263
017/205	21.3333	54.5000	02268
017/207	21.5000	54.5000	02276
017/209	21.6667	54.5000	02281
017/211	21.8333	54.5000	02295
017/213	22.0000	54.5000	02305
017/215	22.1667	54.5000	02312
017/217	22.3333	54.5000	02328
017/219	22.5000	54.5000	02333
018/051	 8.5000	54.4167	46389
018/053	 8.6667	54.4167	46390
018/055	 8.8333	54.4167	46398
018/057	 9.0000	54.4167	46403
018/059	 9.1667	54.4167	46417
018/061	 9.3333	54.4167	46423
018/063	 9.5000	54.4167	46433
018/065	 9.6667	54.4167	46440
018/067	 9.8333	54.4167	46447
018/069	10.0000	54.4167	46451
018/071	10.1667	54.4167	46474
018/073	10.3333	54.4167	46488
018/075	10.5000	54.4167	46493
018/079	10.8333	54.4167	46496
018/081	11.0000	54.4167	46499
018/097	12.3333	54.4167	51189
018/099	12.5000	54.4167	51193
018/103	12.8333	54.4167	51208
018/105	13.0000	54.4167	51210
018/107	13.1667	54.4167	51220
018/109	13.3333	54.4167	51224
