Number	Source Number	Sentence	Context	Form
110	X1208	7	PFEFF_er	PFEFF
111	X1219	30	PFUND	PFUND
112	X1230	26	ROT_en	ROT
113	X1241	7	SALZ	SALZ
114	X1252	5	SECHS	SECHS
115	X1263	32	SEIF_e	SEIF
116	X1274	33	SEIN	SEIN
117	X1285	20	SELB_st	SELB
118	X1296	33	SICH	SICH
119	X1307	17	SIE_3sg	SIE
120	X1318	36	SITZ_en	SITZ
121	X1329	24	SCHLAF_en	SCHLAF
122	X1340	13	SCHLECHT_e	SCHLECHT
123	X1351	25	ge_SCHMOLZ_en	SCHMOLZ
124	X1362	25	SCHNEE	SCHNEE
125	X1373	2	SCHNEI_en	SCHNEI
126	X1384	17	SO	SO
127	X1395	33	SCHÖN_e	SCHÖN
128	X1406	12	SOLL_en_1pl	SOLL
129	X1417	22	ver_STEH_t	STEH
130	X1428	20	be_STELL_t	STELL
131	X1439	19	ge_STOHL_en	STOHL
132	X1450	5	ge_STORB_en	STORB
133	X1461	32	STÜCK_chen	STÜCK
134	X1472	6	SCHWARZ	SCHWARZ
135	X1483	17	SCHWEST_er	SCHWEST
136	X1494	32	TISCH_e	TISCH
137	X1505	9	TOCHT_er	TOCHT
138	X1516	14	TOT	TOT
139	X1527	28	TREIB_en	TREIB
140	X1538	16	auzu_TRINK_en	TRINK
141	X1549	3	TU	TU
142	X1560	39	TU_t	TU
143	X1571	40	ÜB_er	ÜB
144	X1582	11	UM	UM
145	X1593	37	UND	UND
146	X1604	25	UNS	UNS
147	X1615	26	UNS_erm	UNS
148	X1626	6	UNT_en	UNT
149	X1637	29	VIEL	VIEL
150	X1648	35	VON	VON
151	X1659	37	VOR	VOR
152	X1670	16	WACHS_en	WACHS
153	X1681	18	WÄR_e	WÄR
154	X1692	36	WAS	WAS
155	X1703	4	WASS_er	WASS
156	X1714	8	WEH	WEH
157	X1725	16	WEIN	WEIN
158	X1736	32	WEISS_e	WEISS
159	X1747	21	WEM	WEM
160	X1758	16	WERD_en	WERD
161	X1769	2	WETT_er	WETT
162	X1780	30	WIE_viel	WIE
163	X1791	10	WILL_1sg	WILL
164	X1802	1	WINT_er	WINT
165	X1813	12	WO	WO
166	X1824	5	WOCH_en	WOCH
167	X1835	9	WOLL_te	WOLL
168	X1846	34	WORT	WORT
169	X1857	30	WURST	WURST
170	X1868	21	er_ZÄHL_t	ZÄHL
171	X1879	13	ZEIT_en	ZEIT
172	X1890	20	ZUM	ZUM
173	X1901	33	ZWEI	ZWEI
174	X1912	37	ZWÖLF	ZWÖLF
