	WORD	COGID	ALIGN
1	73	1	- ae - pp e - l -
2	73	1	- ae - pp e - l -
3	292	1	- e - pp e - l -
4	186	1	- ä - pp e - l -
5	292	1	- e - pp e - l -
6	292	1	- e - pp e - l -
7	73	1	- ae - pp e - l -
8	73	1	- ae - pp e - l -
9	73	1	- ae - pp e - l -
10	73	1	- ae - pp e - l -
11	56	1	- ae - p e - l -
12	73	1	- ae - pp e - l -
13	186	1	- ä - pp e - l -
14	292	1	- e - pp e - l -
15	186	1	- ä - pp e - l -
16	186	1	- ä - pp e - l -
17	186	1	- ä - pp e - l -
18	186	1	- ä - pp e - l -
19	119	1	- ä - p e - l -
20	186	1	- ä - pp e - l -
21	186	1	- ä - pp e - l -
22	119	1	- ä - p e - l -
23	73	1	- ae - pp e - l -
24	73	1	- ae - pp e - l -
25	73	1	- ae - pp e - l -
26	186	1	- ä - pp e - l -
27	186	1	- ä - pp e - l -
28	73	1	- ae - pp e - l -
29	186	1	- ä - pp e - l -
30	258	1	- e - p e - l -
31	56	1	- ae - p e - l -
32	73	1	- ae - pp e - l -
33	186	1	- ä - pp e - l -
34	186	1	- ä - pp e - l -
35	73	1	- ae - pp e - l -
36	73	1	- ae - pp e - l -
37	186	1	- ä - pp e - l -
38	119	1	- ä - p e - l -
39	73	1	- ae - pp e - l -
40	35	1	- a - b e - l -
41	216	1	- ä - v - - l -
42	216	1	- ä - v - - l -
43	87	1	- ä - f - - l -
44	87	1	- ä - f - - l -
45	86	1	- ä - f i - l -
46	84	1	- ä - f e - l -
47	86	1	- ä - f i - l -
48	239	1	- e - f i - l -
49	85	1	- ä - ff e - l -
50	73	1	- ae - pp e - l -
51	186	1	- ä - pp e - l -
52	186	1	- ä - pp e - l -
53	119	1	- ä - p e - l -
54	73	1	- ae - pp e - l -
55	73	1	- ae - pp e - l -
56	73	1	- ae - pp e - l -
57	185	1	- a - pp e - l -
58	186	1	- ä - pp e - l -
59	186	1	- ä - pp e - l -
60	292	1	- e - pp e - l -
61	186	1	- ä - pp e - l -
62	73	1	- ae - pp e - l -
63	56	1	- ae - p e - l -
64	163	1	- a - p - - l -
65	7	1	- aa - p e - l -
66	118	1	- a - p e - l -
67	87	1	- ä - f - - l -
68	84	1	- ä - f e - l -
69	215	1	- ä - v i - l -
70	84	1	- ä - f e - l -
71	87	1	- ä - f - - l -
72	87	1	- ä - f - - l -
73	87	1	- ä - f - - l -
74	237	1	- e - f e - l -
75	52	1	- ae - f e - l -
76	292	1	- e - pp e - l -
77	299	1	- e - pp o - ll -
78	56	1	- ae - p e - l -
79	73	1	- ae - pp e - l -
80	80	1	- ae - pp - - l -
81	73	1	- ae - pp e - l -
82	186	1	- ä - pp e - l -
83	73	1	- ae - pp e - l -
84	292	1	- e - pp e - l -
85	186	1	- ä - pp e - l -
86	186	1	- ä - pp e - l -
87	186	1	- ä - pp e - l -
88	119	1	- ä - p e - l -
89	186	1	- ä - pp e - l -
90	292	1	- e - pp e - l -
91	186	1	- ä - pp e - l -
92	73	1	- ae - pp e - l -
93	186	1	- ä - pp e - l -
94	258	1	- e - p e - l -
95	43	1	- a - b - - l -
96	20	1	- aa - p - - l -
97	3	1	- aa - b e - l -
98	84	1	- ä - f e - l -
99	85	1	- ä - ff e - l -
100	27	1	- a - bb e - l -
101	34	1	- a - bb u - l -
102	27	1	- a - bb e - l -
103	27	1	- a - bb e - l -
104	56	1	- ae - p e - l -
105	185	1	- a - pp e - l -
106	185	1	- a - pp e - l -
107	119	1	- ä - p e - l -
108	292	1	- e - pp e - l -
109	186	1	- ä - pp e - l -
110	186	1	- ä - pp e - l -
111	186	1	- ä - pp e - l -
112	73	1	- ae - pp e - l -
113	73	1	- ae - pp e - l -
114	186	1	- ä - pp e - l -
115	73	1	- ae - pp e - l -
116	186	1	- ä - pp e - l -
117	73	1	- ae - pp e - l -
118	73	1	- ae - pp e - l -
119	73	1	- ae - pp e - l -
120	186	1	- ä - pp e - l -
121	186	1	- ä - pp e - l -
122	186	1	- ä - pp e - l -
123	186	1	- ä - pp e - l -
