locations	strings	alignments	cognateID
1/203	aw	a w	1
2/201	oaw	oa w	1
2/203	oaw	oa w	1
2/205	aw	a w	1
3/203	oaw	oa w	1
3/205	aw	a w	1
4/205	ow	o w	1
5/205	oaw	oa w	1
5/207	aw	a w	1
6/205	ahw	ah w	1
6/207	oaw	oa w	1
7/205	oaw	oa w	1
7/207	aw	a w	1
7/209	aw	a w	1
7/211	aw	a w	1
8/199	oaw	oa w	1
8/203	aw	a w	1
8/205	aw	a w	1
8/207	ow	o w	1
8/209	aw	a w	1
8/211	aw	a w	1
8/213	oaw	oa w	1
9/199	aw	a w	1
9/203	aw	a w	1
9/207	aw	a w	1
9/209	aw	a w	1
9/211	aw	a w	1
9/213	oaw	oa w	1
9/215	aw	a w	1
9/217	oaw	oa w	1
10/195	ow	o w	1
10/203	aw	a w	1
10/207	oaw	oa w	1
10/209	ahw	ah w	1
10/211	ahw	ah w	1
10/213	aw	a w	1
10/215	aw	a w	1
10/217	oaw	oa w	1
10/219	oaw	oa w	1
11/49	juj	j u j	1
11/53	jaues	j aue s	1
11/55	av	a v	1
11/57	av	a v	1
11/59	aw	a w	1
11/61	au	au	1
11/63	jau	j au	1
11/65	javv	j a vv	1
11/67	ou	ou	1
11/69	jau	j au	1
11/187	av	a v	1
11/189	ow	o w	1
11/191	oaw	oa w	1
11/195	oaw	oa w	1
11/197	NA		NA
11/203	aw	a w	1
11/205	oaw	oa w	1
11/207	oaw	oa w	1
11/209	aw	a w	1
11/211	ow	o w	1
11/213	ow	o w	1
11/215	oaw	oa w	1
11/217	aw	a w	1
11/219	oaw	oa w	1
12/47	indj	i n d j	1
12/49	ijn	i j n	1
12/51	jan	j a n	1
12/53	jau	j au	1
12/55	av	a v	1
12/57	jaw	j a w	1
12/59	av	a v	1
12/61	au	au	1
12/63	ov	o v	1
12/65	av	a v	1
12/67	av	a v	1
12/69	au	au	1
12/187	ow	o w	1
12/189	NA		NA
12/191	ow	o w	1
12/193	aw	a w	1
12/195	oaw	oa w	1
12/197	aw	a w	1
12/199	oaw	oa w	1
12/201	aw	a w	1
12/203	oaw	oa w	1
12/205	ow	o w	1
12/207	oaw	oa w	1
12/209	oaw	oa w	1
12/211	oaw	oa w	1
12/213	oaw	oa w	1
12/215	aw	a w	1
12/217	aw	a w	1
12/219	ohw	oh w	1
12/221	aw	a w	1
12/223	oaw	oa w	1
13/51	ihm	ih m	1
