locations	strings	alignments	cognateID
13/53	entenne	e n t e nn e	1
13/55	tene	t e n e	1
13/57	av	a v	1
13/59	au	au	1
13/61	aab	aa b	1
13/63	ahb	ah b	1
13/65	ahm	ah m	1
13/67	am	a m	1
13/161	oaw	oa w	1
13/163	aw	a w	1
13/165	ow	o w	1
13/167	ow	o w	1
13/187	oaw	oa w	1
13/189	aw	a w	1
13/191	aw	a w	1
13/193	aw	a w	1
13/195	aw	a w	1
13/197	oaw	oa w	1
13/199	oaw	oa w	1
13/201	aow	ao w	1
13/203	ow	o w	1
13/207	aw	a w	1
13/209	oaw	oa w	1
13/211	oaw	oa w	1
13/213	oaw	oa w	1
13/215	ow	o w	1
13/217	aw	a w	1
13/219	aw	a w	1
13/221	aw	a w	1
13/223	aw	a w	1
14/47	inj	i n j	1
14/49	inj	i n j	1
14/51	NA		NA
14/53	NA		NA
14/55	ene	e n e	1
14/57	ene	e n e	1
14/59	aam	aa m	1
14/61	ahm	ah m	1
14/63	ab	a b	1
14/65	ab	a b	1
14/67	aam	aa m	1
14/109	ab	a b	1
14/159	ow	o w	1
14/161	oaw	oa w	1
14/163	ohw	oh w	1
14/165	oaw	oa w	1
14/167	ow	o w	1
14/169	ow	o w	1
14/187	oaw	oa w	1
14/189	ow	o w	1
14/191	ow	o w	1
14/193	oaw	oa w	1
14/195	aw	a w	1
14/197	oaw	oa w	1
14/199	oahw	oah w	1
14/201	aw	a w	1
14/203	aw	a w	1
14/205	aw	a w	1
14/207	aw	a w	1
14/209	oaw	oa w	1
14/211	oaw	oa w	1
14/213	aw	a w	1
14/215	oaw	oa w	1
14/217	aw	a w	1
14/219	aow	ao w	1
14/221	oaw	oa w	1
15/49	inj	i n j	1
15/51	en	e n	1
15/53	ene	e n e	1
15/55	eene	ee n e	1
15/57	aab	aa b	1
15/59	aab	aa b	1
15/61	ahm	ah m	1
15/63	ab	a b	1
15/65	aab	aa b	1
15/67	aab	aa b	1
15/105	aob	ao b	1
15/107	ab	a b	1
15/109	ab	a b	1
15/151	oaw	oa w	1
15/153	oaw	oa w	1
15/155	aw	a w	1
15/157	ouw	ou w	1
15/159	ow	o w	1
15/161	ow	o w	1
15/163	ahw	ah w	1
15/165	ow	o w	1
15/167	ow	o w	1
15/169	ow	o w	1
15/173	ow	o w	1
15/187	aav	aa v	1
15/191	oaw	oa w	1
15/193	oaw	oa w	1
15/195	oaw	oa w	1
15/197	aw	a w	1
15/199	ab	a b	1
15/201	av	a v	1
15/203	ov	o v	1
15/205	aw	a w	1
15/207	oaw	oa w	1
15/209	oaw	oa w	1
15/211	oaw	oa w	1
15/213	NA		NA
15/215	oaw	oa w	1
15/217	oaw	oa w	1
15/219	oaw	oa w	1
15/221	oaw	oa w	1
16/51	ehne	eh n e	1
16/55	aag	aa g	1
16/57	aab	aa b	1
16/59	ahm	ah m	1
16/61	ahm	ah m	1
16/63	aab	aa b	1
16/65	NA		NA
16/67	ab	a b	1
16/81	amb	a m b	1
16/83	ab	a b	1
16/105	oab	oa b	1
16/107	ab	a b	1
16/109	ab	a b	1
16/111	ab	a b	1
16/145	oav	oa v	1
16/147	aow	ao w	1
16/149	oaw	oa w	1
16/151	aow	ao w	1
16/153	aw	a w	1
16/155	ow	o w	1
16/157	aw	a w	1
16/159	aow	ao w	1
16/161	aow	ao w	1
16/163	oaw	oa w	1
16/165	ow	o w	1
16/167	NA		NA
16/187	aw	a w	1
16/189	oaw	oa w	1
16/191	aw	a w	1
16/193	oaw	oa w	1
16/195	aw	a w	1
16/197	oaw	oa w	1
16/199	aw	a w	1
16/201	oaw	oa w	1
16/203	aw	a w	1
16/205	oaw	oa w	1
16/209	aow	ao w	1
16/211	oaw	oa w	1
16/213	aw	a w	1
16/215	oaw	oa w	1
16/217	oow	oo w	1
16/219	oaw	oa w	1
17/55	ab	a b	1
17/57	amb	a m b	1
17/59	ahm	ah m	1
17/61	ahmb	ah m b	1
17/63	amb	a m b	1
17/65	amb	a m b	1
17/67	ahm	ah m	1
17/69	ahmb	ah m b	1
17/81	ab	a b	1
17/83	ab	a b	1
17/99	ab	a b	1
17/101	ab	a b	1
17/103	ab	a b	1
17/107	ab	a b	1
17/109	aob	ao b	1
17/145	ow	o w	1
17/147	aow	ao w	1
17/149	of	o f	1
17/151	aw	a w	1
17/153	ow	o w	1
17/155	oaw	oa w	1
17/157	oaw	oa w	1
17/159	aw	a w	1
17/161	aw	a w	1
17/163	ow	o w	1
17/165	aw	a w	1
17/169	ow	o w	1
17/171	ow	o w	1
17/183	ow	o w	1
17/185	av	a v	1
17/187	oab	oa b	1
17/189	oaw	oa w	1
17/191	aw	a w	1
17/193	oaw	oa w	1
17/195	oab	oa b	1
17/197	oaw	oa w	1
17/199	aw	a w	1
17/201	oaw	oa w	1
17/203	ohw	oh w	1
17/205	oaw	oa w	1
17/207	oaw	oa w	1
17/209	oaw	oa w	1
17/211	oaw	oa w	1
17/213	oaw	oa w	1
17/215	ow	o w	1
17/217	aw	a w	1
17/219	aw	a w	1
18/51	ab	a b	1
18/53	ab	a b	1
18/55	aom	ao m	1
18/57	amb	a m b	1
18/59	amb	a m b	1
18/61	aam	aa m	1
18/63	aab	aa b	1
18/65	ab	a b	1
18/67	ahmb	ah m b	1
18/69	ob	o b	1
18/71	ab	a b	1
18/73	am	a m	1
18/75	amb	a m b	1
18/79	ab	a b	1
18/81	aab	aa b	1
18/97	ab	a b	1
18/99	ab	a b	1
18/103	ab	a b	1
18/105	ab	a b	1
18/107	ab	a b	1
18/109	ab	a b	1
18/111	ab	a b	1
18/143	aw	a w	1
18/145	ow	o w	1
18/147	oaw	oa w	1
18/149	ow	o w	1
18/151	ow	o w	1
18/153	aw	a w	1
18/155	aov	ao v	1
18/157	oaw	oa w	1
18/159	ow	o w	1
18/161	oaw	oa w	1
18/163	ow	o w	1
18/165	ow	o w	1
18/169	ow	o w	1
18/171	aw	a w	1
18/173	ow	o w	1
18/181	aw	a w	1
18/185	ow	o w	1
18/187	ow	o w	1
18/189	aw	a w	1
18/191	oaw	oa w	1
18/193	av	a v	1
18/195	ow	o w	1
18/197	aw	a w	1
18/199	aw	a w	1
18/201	aw	a w	1
18/203	ow	o w	1
18/205	ow	o w	1
18/207	aw	a w	1
18/209	ow	o w	1
18/211	aw	a w	1
18/213	aw	a w	1
18/215	aow	ao w	1
18/219	oaw	oa w	1
19/51	ab	a b	1
19/53	ab	a b	1
19/55	ab	a b	1
19/57	aamb	aa m b	1
19/59	amb	a m b	1
19/61	oahm	oah m	1
19/63	ab	a b	1
19/65	oab	oa b	1
19/67	ob	o b	1
19/69	ab	a b	1
19/71	ab	a b	1
19/73	ahm	ah m	1
19/75	aamb	aa m b	1
19/77	ab	a b	1
19/79	aam	aa m	1
19/81	ab	a b	1
19/97	ab	a b	1
19/99	ab	a b	1
19/101	ab	a b	1
19/103	ab	a b	1
19/105	ab	a b	1
19/107	ab	a b	1
19/109	ab	a b	1
19/143	oav	oa v	1
19/145	oaw	oa w	1
19/147	aw	a w	1
19/149	aw	a w	1
19/151	aw	a w	1
19/153	aw	a w	1
19/155	ow	o w	1
19/157	ab	a b	1
19/159	oaw	oa w	1
19/161	ow	o w	1
19/163	ow	o w	1
19/165	ow	o w	1
19/167	ow	o w	1
19/169	ow	o w	1
19/171	oaw	oa w	1
19/173	ow	o w	1
19/175	oaw	oa w	1
19/177	NA		NA
19/179	ooaw	ooa w	1
19/181	oaw	oa w	1
19/183	aw	a w	1
19/185	ow	o w	1
19/187	ow	o w	1
19/189	NA		NA
19/191	oaw	oa w	1
19/193	oaw	oa w	1
19/195	oaw	oa w	1
19/197	ow	o w	1
19/199	aw	a w	1
19/201	oaw	oa w	1
19/203	oaw	oa w	1
19/205	ov	o v	1
19/207	oaw	oa w	1
19/209	oaw	oa w	1
19/211	oaw	oa w	1
19/213	aw	a w	1
19/215	ow	o w	1
19/217	oaw	oa w	1
19/219	aw	a w	1
20/43	hent	h e n t	1
20/53	aamb	aa m b	1
20/55	amb	a m b	1
20/57	ab	a b	1
20/59	amb	a m b	1
20/61	amb	a m b	1
20/63	aomb	ao m b	1
20/65	ahmb	ah m b	1
20/67	ahm	ah m	1
20/69	ab	a b	1
20/71	ab	a b	1
20/73	ab	a b	1
20/75	ab	a b	1
20/77	ahm	ah m	1
20/79	ab	a b	1
20/81	ab	a b	1
20/95	ab	a b	1
20/97	ab	a b	1
20/99	ab	a b	1
20/101	aob	ao b	1
20/103	ab	a b	1
20/105	ab	a b	1
20/107	ab	a b	1
20/135	oaw	oa w	1
20/137	oaw	oa w	1
20/139	ow	o w	1
20/141	ow	o w	1
20/143	oaw	oa w	1
20/145	ow	o w	1
20/147	aow	ao w	1
20/149	oaw	oa w	1
20/151	ow	o w	1
20/153	aw	a w	1
20/155	ouw	ou w	1
20/157	ow	o w	1
20/159	ouw	ou w	1
20/161	ow	o w	1
20/163	ow	o w	1
20/165	aw	a w	1
20/167	ow	o w	1
20/169	ow	o w	1
20/171	aw	a w	1
20/173	oaw	oa w	1
20/175	ov	o v	1
20/177	ow	o w	1
20/179	oaw	oa w	1
20/181	ow	o w	1
20/183	aw	a w	1
20/185	ow	o w	1
20/187	ow	o w	1
20/189	zoing	z oi ng	1
20/191	zong	z o ng	1
20/193	zong	z o ng	1
20/195	aw	a w	1
20/197	aw	a w	1
20/199	aw	a w	1
20/201	aw	a w	1
20/203	oaw	oa w	1
20/205	ow	o w	1
20/207	oaw	oa w	1
20/209	oaw	oa w	1
20/211	ow	o w	1
20/213	ow	o w	1
20/215	aw	a w	1
20/217	oaw	oa w	1
20/219	oaw	oa w	1
21/55	aamb	aa m b	1
21/57	ab	a b	1
21/59	amb	a m b	1
21/61	amb	a m b	1
21/63	ab	a b	1
21/65	amb	a m b	1
21/67	NA		NA
21/69	aob	ao b	1
21/71	ob	o b	1
21/73	ahm	ah m	1
21/75	am	a m	1
21/77	ab	a b	1
21/79	ab	a b	1
21/87	ab	a b	1
21/89	ab	a b	1
21/91	ab	a b	1
21/93	ab	a b	1
21/95	ab	a b	1
21/97	ab	a b	1
21/99	ab	a b	1
21/101	ab	a b	1
21/103	ab	a b	1
21/105	oab	oa b	1
21/107	ab	a b	1
21/109	ahm	ah m	1
21/111	ab	a b	1
21/113	abb	a bb	1
21/131	aw	a w	1
21/133	aw	a w	1
21/135	aw	a w	1
21/137	oaw	oa w	1
21/139	oaw	oa w	1
21/141	oaw	oa w	1
21/143	ow	o w	1
21/145	aow	ao w	1
21/147	aw	a w	1
21/149	oaw	oa w	1
21/151	oaw	oa w	1
21/153	ow	o w	1
21/155	ow	o w	1
21/157	aw	a w	1
21/159	ow	o w	1
21/163	ow	o w	1
21/165	ow	o w	1
21/167	ow	o w	1
21/169	ow	o w	1
21/171	ow	o w	1
21/173	ow	o w	1
21/175	ab	a b	1
21/177	oaw	oa w	1
21/179	ow	o w	1
21/181	oaw	oa w	1
21/183	ouw	ou w	1
21/185	oab	oa b	1
21/187	ob	o b	1
21/189	ob	o b	1
21/191	zohng	z oh ng	1
21/193	zong	z o ng	1
21/195	oab	oa b	1
21/197	zoing	z oi ng	1
21/199	ow	o w	1
21/201	auw	au w	1
21/203	oaw	oa w	1
21/205	oaw	oa w	1
21/207	ow	o w	1
21/211	ow	o w	1
21/215	oaw	oa w	1
21/217	aw	a w	1
21/219	oaw	oa w	1
22/55	ab	a b	1
22/57	ahm	ah m	1
22/59	ab	a b	1
22/61	ohmb	oh m b	1
22/63	aam	aa m	1
22/65	amb	a m b	1
22/67	ab	a b	1
22/69	ab	a b	1
22/71	ov	o v	1
22/73	ab	a b	1
22/75	ahm	ah m	1
22/77	ab	a b	1
22/87	ab	a b	1
22/89	ab	a b	1
22/91	ab	a b	1
22/93	ab	a b	1
22/95	ab	a b	1
22/97	ab	a b	1
22/99	ab	a b	1
22/101	ab	a b	1
22/103	ab	a b	1
22/105	ab	a b	1
22/107	ab	a b	1
22/109	ab	a b	1
22/111	ab	a b	1
22/113	NA		NA
22/115	ab	a b	1
22/127	auw	au w	1
22/129	aw	a w	1
22/131	auw	au w	1
22/133	auw	au w	1
22/135	auw	au w	1
22/137	oaf	oa f	1
22/139	ow	o w	1
22/141	aw	a w	1
22/143	ow	o w	1
22/145	oav	oa v	1
22/147	NA		NA
22/149	oaw	oa w	1
22/151	ow	o w	1
22/153	oaw	oa w	1
22/155	oaw	oa w	1
22/157	aav	aa v	1
22/159	ow	o w	1
22/165	ow	o w	1
22/167	ow	o w	1
22/169	oaw	oa w	1
22/171	ow	o w	1
22/173	ow	o w	1
22/175	ow	o w	1
22/177	oaw	oa w	1
22/179	oaw	oa w	1
22/181	oaw	oa w	1
22/183	NA		NA
22/185	oab	oa b	1
22/187	ab	a b	1
22/189	ob	o b	1
22/191	NA		NA
22/193	zong	z o ng	1
22/195	zong	z o ng	1
22/197	zong	z o ng	1
22/199	zoong	z oo ng	1
22/201	oaw	oa w	1
22/203	ow	o w	1
22/205	aw	a w	1
22/209	oaw	oa w	1
22/211	aw	a w	1
22/215	aw	a w	1
22/217	NA		NA
22/219	aw	a w	1
23/55	ab	a b	1
23/59	ab	a b	1
23/61	ab	a b	1
23/63	ahmb	ah m b	1
23/65	ab	a b	1
23/67	amb	a m b	1
23/69	ab	a b	1
23/71	ab	a b	1
23/73	NA		NA
23/75	aab	aa b	1
23/77	ab	a b	1
23/79	ab	a b	1
23/81	ab	a b	1
23/83	ab	a b	1
23/85	ab	a b	1
23/87	ab	a b	1
23/89	ab	a b	1
23/91	ab	a b	1
23/93	ab	a b	1
23/95	ab	a b	1
23/97	ab	a b	1
23/99	ab	a b	1
23/101	ab	a b	1
23/103	aab	aa b	1
23/105	ab	a b	1
23/107	am	a m	1
23/109	oab	oa b	1
23/111	ab	a b	1
23/113	oam	oa m	1
23/115	oab	oa b	1
23/117	ob	o b	1
23/121	oab	oa b	1
23/123	oab	oa b	1
23/125	aow	ao w	1
23/127	oaw	oa w	1
23/129	auw	au w	1
23/131	aw	a w	1
23/133	auw	au w	1
23/135	oaw	oa w	1
23/137	oaw	oa w	1
23/139	oaw	oa w	1
23/141	aw	a w	1
23/143	oaw	oa w	1
23/145	ow	o w	1
23/147	ow	o w	1
23/149	NA		NA
23/151	oaw	oa w	1
23/153	ow	o w	1
23/155	ow	o w	1
23/165	aow	ao w	1
23/167	ow	o w	1
23/169	ow	o w	1
23/175	ow	o w	1
23/177	ob	o b	1
23/179	ab	a b	1
23/181	ob	o b	1
23/183	aob	ao b	1
23/185	aob	ao b	1
23/187	ab	a b	1
23/189	oab	oa b	1
23/191	zong	z o ng	1
23/193	ob	o b	1
23/195	zong	z o ng	1
23/197	zong	z o ng	1
23/199	ow	o w	1
23/201	ow	o w	1
23/203	ow	o w	1
23/205	aw	a w	1
23/207	ohw	oh w	1
23/215	ow	o w	1
23/217	aw	a w	1
24/53	oab	oa b	1
24/57	aamb	aa m b	1
24/59	ab	a b	1
24/61	ab	a b	1
24/63	ab	a b	1
24/65	aab	aa b	1
24/67	aomb	ao m b	1
24/69	ab	a b	1
24/71	am	a m	1
24/73	aohm	aoh m	1
24/75	ab	a b	1
24/77	ab	a b	1
24/79	ab	a b	1
24/81	ahm	ah m	1
24/83	ab	a b	1
24/85	ahb	ah b	1
24/87	ab	a b	1
24/89	ab	a b	1
24/91	ab	a b	1
24/93	ab	a b	1
24/95	ab	a b	1
24/97	ab	a b	1
24/99	ab	a b	1
24/101	ab	a b	1
24/103	ab	a b	1
24/105	oam	oa m	1
24/107	aom	ao m	1
24/109	ab	a b	1
24/111	am	a m	1
24/113	ab	a b	1
24/115	ab	a b	1
24/117	oab	oa b	1
24/119	ab	a b	1
24/121	oaw	oa w	1
24/123	oaw	oa w	1
24/125	oaw	oa w	1
24/127	aob	ao b	1
24/129	aw	a w	1
24/131	aw	a w	1
24/133	oaw	oa w	1
24/135	aow	ao w	1
24/137	aw	a w	1
24/139	ahw	ah w	1
24/141	aow	ao w	1
24/143	oaw	oa w	1
24/145	oaw	oa w	1
24/147	aw	a w	1
24/149	oaw	oa w	1
24/151	auw	au w	1
24/153	auw	au w	1
24/155	ow	o w	1
24/163	auw	au w	1
24/165	ow	o w	1
24/167	ow	o w	1
24/169	ow	o w	1
24/171	ow	o w	1
24/175	ow	o w	1
24/179	ob	o b	1
24/181	ob	o b	1
24/183	aob	ao b	1
24/185	aob	ao b	1
24/187	oab	oa b	1
24/189	aub	au b	1
24/191	zong	z o ng	1
24/193	zong	z o ng	1
24/195	zong	z o ng	1
24/197	zoong	z oo ng	1
24/199	NA		NA
24/201	ow	o w	1
24/203	ow	o w	1
24/217	ow	o w	1
24/221	oahw	oah w	1
25/43	eiw	ei w	1
25/51	amb	a m b	1
25/53	ab	a b	1
25/55	ab	a b	1
25/57	ab	a b	1
25/59	ab	a b	1
25/61	ab	a b	1
25/63	aw	a w	1
25/65	ahb	ah b	1
25/67	ab	a b	1
25/69	ab	a b	1
25/71	ab	a b	1
25/73	ab	a b	1
25/75	ab	a b	1
25/77	ab	a b	1
25/79	ab	a b	1
25/81	ab	a b	1
25/83	ab	a b	1
25/85	ab	a b	1
25/87	ab	a b	1
25/89	ab	a b	1
25/91	ab	a b	1
25/93	ab	a b	1
25/95	ab	a b	1
25/99	ab	a b	1
25/101	ahw	ah w	1
25/103	aom	ao m	1
25/105	am	a m	1
25/107	aeb	ae b	1
25/109	ab	a b	1
25/111	ab	a b	1
25/113	oab	oa b	1
25/115	oab	oa b	1
25/123	ob	o b	1
25/125	oaw	oa w	1
25/127	aw	a w	1
25/129	aow	ao w	1
25/131	ow	o w	1
25/133	ow	o w	1
25/135	ow	o w	1
25/137	ow	o w	1
25/139	oaw	oa w	1
25/141	auw	au w	1
25/143	auw	au w	1
25/145	oaw	oa w	1
25/147	auw	au w	1
25/149	ow	o w	1
25/151	auw	au w	1
25/153	auw	au w	1
25/155	auw	au w	1
25/157	auw	au w	1
25/159	ow	o w	1
25/177	aw	a w	1
25/179	ab	a b	1
25/181	oub	ou b	1
25/183	ob	o b	1
25/185	aob	ao b	1
25/187	ab	a b	1
25/189	ab	a b	1
25/191	zong	z o ng	1
26/31	ab	a b	1
26/33	ab	a b	1
26/37	ab	a b	1
26/41	ab	a b	1
26/43	ab	a b	1
26/45	ab	a b	1
26/51	ab	a b	1
26/53	am	a m	1
26/55	ob	o b	1
26/57	ab	a b	1
26/59	ab	a b	1
26/61	ab	a b	1
26/63	aab	aa b	1
26/65	NA		NA
26/67	amb	a m b	1
26/69	ab	a b	1
26/71	ab	a b	1
26/73	ab	a b	1
26/75	ab	a b	1
26/77	ab	a b	1
26/79	ab	a b	1
26/81	ab	a b	1
26/83	ab	a b	1
26/85	ab	a b	1
26/87	ab	a b	1
26/89	ab	a b	1
26/91	ab	a b	1
26/93	ab	a b	1
26/95	ab	a b	1
26/97	ab	a b	1
26/99	ab	a b	1
26/101	aob	ao b	1
26/103	ab	a b	1
26/105	ab	a b	1
26/107	ohb	oh b	1
26/109	oab	oa b	1
26/111	ab	a b	1
26/113	oab	oa b	1
26/115	oam	oa m	1
26/117	oab	oa b	1
26/119	ab	a b	1
26/123	oaw	oa w	1
26/125	ab	a b	1
26/127	oaw	oa w	1
26/129	aow	ao w	1
26/131	aow	ao w	1
26/133	oaw	oa w	1
26/135	oaw	oa w	1
26/137	auw	au w	1
26/139	ow	o w	1
26/141	aow	ao w	1
26/143	aow	ao w	1
26/145	aw	a w	1
26/147	aw	a w	1
26/153	auw	au w	1
26/155	auw	au w	1
26/157	auw	au w	1
26/159	auw	au w	1
26/161	auw	au w	1
26/165	ob	o b	1
26/173	ow	o w	1
26/175	oaw	oa w	1
26/177	ow	o w	1
26/179	ow	o w	1
26/181	ob	o b	1
26/183	ab	a b	1
26/185	NA		NA
26/187	ob	o b	1
26/189	ob	o b	1
27/27	av	a v	1
27/35	af	a f	1
27/37	aam	aa m	1
27/39	ab	a b	1
27/41	ab	a b	1
27/43	ab	a b	1
27/45	ab	a b	1
27/47	ab	a b	1
27/51	ab	a b	1
27/53	ab	a b	1
27/55	ab	a b	1
27/57	ahm	ah m	1
27/59	ab	a b	1
27/61	ob	o b	1
27/63	ahm	ah m	1
27/65	ab	a b	1
27/67	ab	a b	1
27/69	ab	a b	1
27/71	ab	a b	1
27/73	ab	a b	1
27/75	ab	a b	1
27/77	aab	aa b	1
27/79	ab	a b	1
27/81	ab	a b	1
27/83	ab	a b	1
27/85	ab	a b	1
27/87	ab	a b	1
27/89	ab	a b	1
27/91	ab	a b	1
27/93	ab	a b	1
27/95	ab	a b	1
27/99	ab	a b	1
27/101	ab	a b	1
27/103	ab	a b	1
27/105	ab	a b	1
27/107	oam	oa m	1
27/109	am	a m	1
27/111	ob	o b	1
27/113	ab	a b	1
27/115	aow	ao w	1
27/117	oab	oa b	1
27/119	aub	au b	1
27/123	oab	oa b	1
27/125	oab	oa b	1
27/127	aow	ao w	1
27/129	aow	ao w	1
27/131	aw	a w	1
27/135	ow	o w	1
27/137	oaw	oa w	1
27/139	auw	au w	1
27/141	ow	o w	1
27/143	oaw	oa w	1
27/145	auow	auo w	1
27/147	oaw	oa w	1
27/149	ow	o w	1
27/151	auw	au w	1
27/153	auw	au w	1
27/155	auw	au w	1
27/157	auw	au w	1
27/159	ow	o w	1
27/161	auf	au f	1
27/167	aow	ao w	1
27/171	ow	o w	1
27/173	ow	o w	1
27/175	ow	o w	1
27/177	ow	o w	1
27/179	ow	o w	1
27/181	ow	o w	1
27/183	ob	o b	1
27/185	oub	ou b	1
28/33	NA		NA
28/35	ab	a b	1
28/37	ab	a b	1
28/39	af	a f	1
28/41	ab	a b	1
28/43	ab	a b	1
28/45	ab	a b	1
28/47	ab	a b	1
28/49	ab	a b	1
28/51	ab	a b	1
28/53	ab	a b	1
28/55	ob	o b	1
28/57	ahm	ah m	1
28/59	ab	a b	1
28/61	ab	a b	1
28/63	oab	oa b	1
28/65	ob	o b	1
28/67	ob	o b	1
28/69	ab	a b	1
28/71	ab	a b	1
28/73	ab	a b	1
28/75	ab	a b	1
28/77	ab	a b	1
28/79	ab	a b	1
28/81	NA		NA
28/83	ab	a b	1
28/85	ab	a b	1
28/87	ab	a b	1
28/89	ab	a b	1
28/91	ab	a b	1
28/93	ab	a b	1
28/95	NA		NA
28/97	ab	a b	1
28/99	ab	a b	1
28/103	ab	a b	1
28/105	ab	a b	1
28/107	ab	a b	1
28/109	oab	oa b	1
28/111	oab	oa b	1
28/113	oab	oa b	1
28/115	ob	o b	1
28/117	ob	o b	1
28/119	ab	a b	1
28/121	oab	oa b	1
28/123	omb	o m b	1
28/125	aow	ao w	1
28/127	aow	ao w	1
28/129	oaw	oa w	1
28/131	oaw	oa w	1
28/133	aow	ao w	1
28/135	ow	o w	1
28/137	ow	o w	1
28/139	oaw	oa w	1
28/141	auw	au w	1
28/143	auw	au w	1
28/145	ow	o w	1
28/147	aw	a w	1
28/151	auw	au w	1
28/153	auw	au w	1
28/155	auw	au w	1
28/157	auw	au w	1
28/159	ow	o w	1
28/161	auw	au w	1
28/165	aub	au b	1
28/169	oew	oe w	1
28/171	ow	o w	1
28/173	oaw	oa w	1
28/175	oaw	oa w	1
28/177	oew	oe w	1
28/179	ow	o w	1
28/181	oab	oa b	1
28/183	ob	o b	1
28/185	ab	a b	1
29/33	av	a v	1
29/35	av	a v	1
29/37	av	a v	1
29/39	av	a v	1
29/43	af	a f	1
29/45	ab	a b	1
29/47	ab	a b	1
29/49	ab	a b	1
29/51	amb	a m b	1
29/53	aob	ao b	1
29/55	ab	a b	1
29/57	aob	ao b	1
29/59	ab	a b	1
29/61	ab	a b	1
29/65	ab	a b	1
29/67	ab	a b	1
29/69	aob	ao b	1
29/71	ab	a b	1
29/73	NA		NA
29/75	ab	a b	1
29/77	ab	a b	1
29/79	ab	a b	1
29/81	ab	a b	1
29/83	ahm	ah m	1
29/85	ab	a b	1
29/87	ab	a b	1
29/89	ab	a b	1
29/91	ab	a b	1
29/93	ab	a b	1
29/95	ab	a b	1
29/97	ab	a b	1
29/99	ab	a b	1
29/101	ab	a b	1
29/103	ab	a b	1
29/105	ab	a b	1
29/107	ahm	ah m	1
29/109	ab	a b	1
29/111	ab	a b	1
29/113	oab	oa b	1
29/115	ob	o b	1
29/117	ob	o b	1
29/119	am	a m	1
29/121	aob	ao b	1
29/123	oab	oa b	1
29/125	ob	o b	1
29/127	aow	ao w	1
29/129	ow	o w	1
29/131	oaw	oa w	1
29/133	oaw	oa w	1
29/135	oaw	oa w	1
29/137	auw	au w	1
29/139	ohw	oh w	1
29/141	auw	au w	1
29/143	auw	au w	1
29/145	auw	au w	1
29/147	auw	au w	1
29/149	auw	au w	1
29/151	auv	au v	1
29/153	auw	au w	1
29/155	auw	au w	1
29/157	auw	au w	1
29/159	auw	au w	1
29/161	auw	au w	1
29/163	auw	au w	1
29/165	auw	au w	1
29/167	ow	o w	1
29/169	ow	o w	1
29/171	ow	o w	1
29/173	ow	o w	1
29/175	oaw	oa w	1
29/177	oaw	oa w	1
29/181	ow	o w	1
30/33	av	a v	1
30/35	av	a v	1
30/37	av	a v	1
30/39	ab	a b	1
30/41	af	a f	1
30/43	ahm	ah m	1
30/45	ab	a b	1
30/47	ahm	ah m	1
30/49	ab	a b	1
30/51	ab	a b	1
30/53	ahb	ah b	1
30/55	ab	a b	1
30/57	ab	a b	1
30/59	ab	a b	1
