 13/201            54  50    21   0                        EST       67360 68776  
 13/203            54  50    21  10                        EST       67703 68802  
 13/207            54  50    21  30                        EST       68388 68857  
 13/209            54  50    21  40                        EST       68731 68885  
 13/211            54  50    21  50                        EST       69073 68914  
 13/213            54  50    22   0                        EST       69416 68944  
 13/215            54  50    22  10                        EST       69758 68975  
 13/217            54  50    22  20                        EST       70100 69006  
 13/219            54  50    22  30                        EST       70442 69038  
 13/221            54  50    22  40                        EST       70784 69071  
 13/223            54  50    22  50                        EST       71126 69104  
 14/ 47            54  45     8  10                        EST       40901 68618  
 14/ 49            54  45     8  20                        EST       41244 68589  
 14/ 51            54  45     8  30                        EST       41587 68560  
 14/ 53            54  45     8  40                        EST       41931 68532  
 14/ 55            54  45     8  50                        EST       42274 68505  
 14/ 57            54  45     9   0                        EST       42617 68479  
 14/ 59            54  45     9  10                        EST       42961 68454  
 14/ 61            54  45     9  20                        EST       43304 68429  
 14/ 63            54  45     9  30                        EST       43647 68405  
 14/ 65            54  45     9  40                        EST       43991 68381  
 14/ 67            54  45     9  50                        EST       44334 68359  
 14/109            54  45    13  20                        EST       51557 68048  
 14/159            54  45    17  30                        EST       60164 68093  
 14/161            54  45    17  40                        EST       60508 68105  
 14/163            54  45    17  50                        EST       60852 68116  
 14/165            54  45    18   0                        EST       61196 68129  
 14/167            54  45    18  10                        EST       61540 68142  
 14/169            54  45    18  20                        EST       61884 68156  
 14/187            54  45    19  50                        EST       64978 68315  
 14/189            54  45    20   0                        EST       65322 68337  
 14/191            54  45    20  10                        EST       65666 68359  
 14/193            54  45    20  20                        EST       66009 68381  
 14/195            54  45    20  30                        EST       66353 68405  
 14/197            54  45    20  40                        EST       66696 68429  
 14/199            54  45    20  50                        EST       67039 68454  
 14/201            54  45    21   0                        EST       67383 68479  
 14/203            54  45    21  10                        EST       67726 68505  
 14/205            54  45    21  20                        EST       68069 68532  
 14/207            54  45    21  30                        EST       68413 68560  
 14/209            54  45    21  40                        EST       68756 68589  
 14/211            54  45    21  50                        EST       69099 68618  
 14/213            54  45    22   0                        EST       69442 68648  
 14/215            54  45    22  10                        EST       69785 68678  
 14/217            54  45    22  20                        EST       70127 68710  
 14/219            54  45    22  30                        EST       70470 68742  
 14/221            54  45    22  40                        EST       70813 68774  
 15/ 49            54  40     8  20                        EST       41219 68292  
 15/ 51            54  40     8  30                        EST       41563 68264  
 15/ 53            54  40     8  40                        EST       41907 68236  
 15/ 55            54  40     8  50                        EST       42251 68209  
 15/ 57            54  40     9   0                        EST       42595 68182  
 15/ 59            54  40     9  10                        EST       42939 68157  
 15/ 61            54  40     9  20                        EST       43283 68132  
 15/ 63            54  40     9  30                        EST       43627 68108  
 15/ 65            54  40     9  40                        EST       43971 68084  
 15/ 67            54  40     9  50                        EST       44315 68062  
 15/105            54  40    13   0                        EST       50861 67767  
 15/107            54  40    13  10                        EST       51206 67758  
 15/109            54  40    13  20                        EST       51551 67751  
 15/151            54  40    16  50                        EST       58794 67758  
 15/153            54  40    17   0                        EST       59139 67767  
 15/155            54  40    17  10                        EST       59483 67776  
 15/157            54  40    17  20                        EST       59828 67785  
 15/159            54  40    17  30                        EST       60173 67796  
 15/161            54  40    17  40                        EST       60518 67807  
 15/163            54  40    17  50                        EST       60862 67819  
 15/165            54  40    18   0                        EST       61207 67832  
 15/167            54  40    18  10                        EST       61552 67845  
 15/169            54  40    18  20                        EST       61896 67859  
 15/173            54  40    18  40                        EST       62585 67889  
 15/187            54  40    19  50                        EST       64996 68018  
 15/191            54  40    20  10                        EST       65685 68062  
 15/193            54  40    20  20                        EST       66029 68084  
 15/195            54  40    20  30                        EST       66373 68108  
 15/197            54  40    20  40                        EST       66717 68132  
 15/199            54  40    20  50                        EST       67061 68157  
 15/201            54  40    21   0                        EST       67405 68182  
 15/203            54  40    21  10                        EST       67749 68209  
 15/205            54  40    21  20                        EST       68093 68236  
 15/207            54  40    21  30                        EST       68437 68264  
 15/209            54  40    21  40                        EST       68781 68292  
 15/211            54  40    21  50                        EST       69124 68321  
 15/213            54  40    22   0                        EST       69468 68351  
 15/215            54  40    22  10                        EST       69811 68382  
 15/217            54  40    22  20                        EST       70155 68413  
 15/219            54  40    22  30                        EST       70498 68445  
 15/221            54  40    22  40                        EST       70842 68478  
 16/ 51            54  35     8  30                        EST       41539 67967  
 16/ 55            54  35     8  50                        EST       42228 67912  
 16/ 57            54  35     9   0                        EST       42572 67886  
 16/ 59            54  35     9  10                        EST       42917 67860  
 16/ 61            54  35     9  20                        EST       43262 67835  
 16/ 63            54  35     9  30                        EST       43606 67811  
 16/ 65            54  35     9  40                        EST       43951 67787  
 16/ 67            54  35     9  50                        EST       44296 67765  
 16/ 81            54  35    11   0                        EST       46711 67626  
 16/ 83            54  35    11  10                        EST       47056 67609  
 16/105            54  35    13   0                        EST       50854 67469  
 16/107            54  35    13  10                        EST       51199 67461  
 16/109            54  35    13  20                        EST       51545 67453  
 16/111            54  35    13  30                        EST       51890 67447  
 16/145            54  35    16  20                        EST       57764 67440  
 16/147            54  35    16  30                        EST       58110 67447  
 16/149            54  35    16  40                        EST       58455 67453  
 16/151            54  35    16  50                        EST       58801 67461  
 16/153            54  35    17   0                        EST       59146 67469  
 16/155            54  35    17  10                        EST       59491 67478  
 16/157            54  35    17  20                        EST       59837 67488  
 16/159            54  35    17  30                        EST       60182 67499  
 16/161            54  35    17  40                        EST       60528 67510  
 16/163            54  35    17  50                        EST       60873 67522  
 16/165            54  35    18   0                        EST       61218 67534  
 16/167            54  35    18  10                        EST       61564 67548  
 16/187            54  35    19  50                        EST       65014 67721  
 16/189            54  35    20   0                        EST       65359 67743  
 16/191            54  35    20  10                        EST       65704 67765  
 16/193            54  35    20  20                        EST       66049 67787  
 16/195            54  35    20  30                        EST       66394 67811  
 16/197            54  35    20  40                        EST       66738 67835  
 16/199            54  35    20  50                        EST       67083 67860  
 16/201            54  35    21   0                        EST       67428 67886  
 16/203            54  35    21  10                        EST       67772 67912  
 16/205            54  35    21  20                        EST       68117 67939  
 16/209            54  35    21  40                        EST       68805 67996  
 16/211            54  35    21  50                        EST       69150 68025  
 16/213            54  35    22   0                        EST       69494 68055  
 16/215            54  35    22  10                        EST       69838 68086  
 16/217            54  35    22  20                        EST       70182 68117  
 16/219            54  35    22  30                        EST       70526 68149  
 17/ 55            54  30     8  50                        EST       42205 67616  
 17/ 57            54  30     9   0                        EST       42550 67589  
 17/ 59            54  30     9  10                        EST       42895 67564  
 17/ 61            54  30     9  20                        EST       43240 67539  
 17/ 63            54  30     9  30                        EST       43586 67514  
 17/ 65            54  30     9  40                        EST       43931 67491  
 17/ 67            54  30     9  50                        EST       44277 67468  
 17/ 69            54  30    10   0                        EST       44622 67446  
 17/ 81            54  30    11   0                        EST       46696 67328  
 17/ 83            54  30    11  10                        EST       47041 67311  
 17/ 99            54  30    12  30                        EST       49808 67201  
 17/101            54  30    12  40                        EST       50154 67191  
 17/103            54  30    12  50                        EST       50500 67181  
 17/107            54  30    13  10                        EST       51193 67164  
 17/109            54  30    13  20                        EST       51539 67156  
 17/145            54  30    16  20                        EST       57769 67143  
 17/147            54  30    16  30                        EST       58115 67149  
 17/149            54  30    16  40                        EST       58461 67156  
 17/151            54  30    16  50                        EST       58807 67164  
 17/153            54  30    17   0                        EST       59154 67172  
 17/155            54  30    17  10                        EST       59500 67181  
 17/157            54  30    17  20                        EST       59846 67191  
 17/159            54  30    17  30                        EST       60192 67201  
 17/161            54  30    17  40                        EST       60538 67213  
 17/163            54  30    17  50                        EST       60884 67225  
 17/165            54  30    18   0                        EST       61229 67237  
 17/169            54  30    18  20                        EST       61921 67265  
 17/171            54  30    18  30                        EST       62267 67280  
 17/183            54  30    19  30                        EST       64341 67384  
 17/185            54  30    19  40                        EST       64687 67404  
 17/187            54  30    19  50                        EST       65033 67424  
 17/189            54  30    20   0                        EST       65378 67446  
 17/191            54  30    20  10                        EST       65723 67468  
 17/193            54  30    20  20                        EST       66069 67491  
 17/195            54  30    20  30                        EST       66414 67514  
 17/197            54  30    20  40                        EST       66760 67539  
 17/199            54  30    20  50                        EST       67105 67564  
 17/201            54  30    21   0                        EST       67450 67589  
 17/203            54  30    21  10                        EST       67795 67616  
 17/205            54  30    21  20                        EST       68140 67643  
 17/207            54  30    21  30                        EST       68485 67671  
 17/209            54  30    21  40                        EST       68830 67699  
