	WORD	COGID	ALIGN
4926	73	1	b - - r oa - d
4927	76	1	b - - r oa - t
4928	83	1	b - - r o - d
4929	111	1	b - - r o - t
4930	83	1	b - - r o - d
4931	83	1	b - - r o - d
4932	115	1	b - - r ou - d
4933	115	1	b - - r ou - d
4934	115	1	b - - r ou - d
4935	115	1	b - - r ou - d
4936	118	1	b - - r oue - d
4937	83	1	b - - r o - d
4938	83	1	b - - r o - d
4939	27	1	b - - r aou - d
4940	115	1	b - - r ou - d
4941	27	1	b - - r aou - d
4942	25	1	b - - r ao - t
4943	32	1	b - - r ä - t
4944	73	1	b - - r oa - d
4945	120	1	b - - r ou - t
4946	60	1	b - - r eo - t
4947	16	1	b - - r ä - d
4948	76	1	b - - r oa - t
4949	111	1	b - - r o - t
4950	73	1	b - - r oa - d
4951	31	1	b - - r a - t
4952	76	1	b - - r oa - t
4953	111	1	b - - r o - t
4954	111	1	b - - r o - t
4955	111	1	b - - r o - t
4956	111	1	b - - r o - t
4957	106	1	b - - r oo - t
4958	83	1	b - - r o - d
4959	111	1	b - - r o - t
4960	83	1	b - - r o - d
4961	83	1	b - - r o - d
4962	83	1	b - - r o - d
4963	111	1	b - - r o - t
4964	111	1	b - - r o - t
4965	111	1	b - - r o - t
4966	83	1	b - - r o - d
4967	137	1	b - - r u - d
4968	83	1	b - - r o - d
4969	83	1	b - - r o - d
4970	111	1	b - - r o - t
4971	83	1	b - - r o - d
4972	83	1	b - - r o - d
4973	83	1	b - - r o - d
4974	111	1	b - - r o - t
4975	100	1	b - - r oo - d
4976	111	1	b - - r o - t
4977	83	1	b - - r o - d
4978	83	1	b - - r o - d
4979	111	1	b - - r o - t
4980	111	1	b - - r o - t
4981	100	1	b - - r oo - d
4982	83	1	b - - r o - d
4983	73	1	b - - r oa - d
4984	76	1	b - - r oa - t
4985	97	1	b - - r ooa - d
4986	76	1	b - - r oa - t
4987	83	1	b - - r o - d
4988	83	1	b - - r o - d
4989	111	1	b - - r o - t
4990	83	1	b - - r o - d
4991	83	1	b - - r o - d
4992	115	1	b - - r ou - d
4993	115	1	b - - r ou - d
4994	65	1	b - - r eu - d
4995	115	1	b - - r ou - d
4996	34	1	b - - r au - d
4997	83	1	b - - r o - d
4998	115	1	b - - r ou - d
4999	76	1	b - - r oa - t
5000	115	1	b - - r ou - d
5001	115	1	b - - r ou - d
5002	48	1	b - - r ea - d
5003	23	1	b - - r ao - d
5004	83	1	b - - r o - d
5005	60	1	b - - r eo - t
5006	83	1	b - - r o - d
5007	83	1	b - - r o - d
5008	83	1	b - - r o - d
5009	111	1	b - - r o - t
5010	83	1	b - - r o - d
5011	83	1	b - - r o - d
5012	83	1	b - - r o - d
5013	111	1	b - - r o - t
5014	111	1	b - - r o - t
5015	111	1	b - - r o - t
5016	111	1	b - - r o - t
5017	111	1	b - - r o - t
5018	111	1	b - - r o - t
5019	111	1	b - - r o - t
5020	83	1	b - - r o - d
5021	175	1	p - - r o - t
5022	111	1	b - - r o - t
5023	157	1	b - - r uo - t
5024	83	1	b - - r o - d
5025	111	1	b - - r o - t
5026	83	1	b - - r o - d
5027	100	1	b - - r oo - d
5028	100	1	b - - r oo - d
5029	83	1	b - - r o - d
5030	111	1	b - - r o - t
5031	83	1	b - - r o - d
5032	100	1	b - - r oo - d
5033	40	1	b - - r au - t
5034	83	1	b - - r o - d
5035	83	1	b - - r o - d
5036	83	1	b - - r o - d
5037	111	1	b - - r o - t
5038	83	1	b - - r o - d
5039	111	1	b - - r o - t
5040	83	1	b - - r o - d
5041	93	1	b - - r oh - d
5042	76	1	b - - r oa - t
5043	111	1	b - - r o - t
5044	72	1	b - - r oaa - t
5045	71	1	b - - r oaa - d
5046	111	1	b - - r o - t
5047	83	1	b - - r o - d
5048	83	1	b - - r o - d
5049	83	1	b - - r o - d
5050	115	1	b - - r ou - d
5051	115	1	b - - r ou - d
5052	120	1	b - - r ou - t
5053	115	1	b - - r ou - d
5054	83	1	b - - r o - d
5055	61	1	b - - r eou - d
5056	83	1	b - - r o - d
5057	100	1	b - - r oo - d
5058	27	1	b - - r aou - d
5059	83	1	b - - r o - d
5060	73	1	b - - r oa - d
5061	48	1	b - - r ea - d
5062	111	1	b - - r o - t
5063	83	1	b - - r o - d
5064	50	1	b - - r ea - t
5065	15	1	b - - r a - d
5066	23	1	b - - r ao - d
5067	23	1	b - - r ao - d
5068	83	1	b - - r o - d
5069	83	1	b - - r o - d
5070	111	1	b - - r o - t
5071	111	1	b - - r o - t
5072	83	1	b - - r o - d
5073	83	1	b - - r o - d
5074	111	1	b - - r o - t
5075	83	1	b - - r o - d
5076	83	1	b - - r o - d
5077	111	1	b - - r o - t
5078	NA	1	- - - - - - -
