	WORD	COGID	ALIGN
1	brod	1	b r o d
2	brod	1	b r o d
3	brot	1	b r o t
4	brod	1	b r o d
5	brot	1	b r o t
6	brod	1	b r o d
7	brod	1	b r o d
8	brod	1	b r o d
9	brot	1	b r o t
10	brod	1	b r o d
11	brot	1	b r o t
12	brot	1	b r o t
13	brot	1	b r o t
14	brot	1	b r o t
15	brot	1	b r o t
16	brot	1	b r o t
17	brot	1	b r o t
18	brot	1	b r o t
19	brot	1	b r o t
20	brot	1	b r o t
21	brot	1	b r o t
22	broot	1	b r oo t
23	brod	1	b r o d
24	brod	1	b r o d
25	brod	1	b r o d
26	brot	1	b r o t
27	brod	1	b r o d
28	brot	1	b r o t
29	brot	1	b r o t
30	brot	1	b r o t
31	brot	1	b r o t
32	brot	1	b r o t
33	brot	1	b r o t
34	brod	1	b r o d
35	brot	1	b r o t
36	brot	1	b r o t
37	broot	1	b r oo t
38	brot	1	b r o t
39	brot	1	b r o t
40	brua	1	b r ua
41	bröd	1	b r ö d
42	brö	1	b r ö
43	bröe	1	b r öe
44	bröd	1	b r ö d
45	brö	1	b r ö
46	bröd	1	b r ö d
47	bröh	1	b r öh
48	brö	1	b r ö
49	bröe	1	b r öe
50	brod	1	b r o d
51	brot	1	b r o t
52	brot	1	b r o t
53	brot	1	b r o t
54	brod	1	b r o d
55	brod	1	b r o d
56	brot	1	b r o t
57	brot	1	b r o t
58	brood	1	b r oo d
59	brod	1	b r o d
60	brot	1	b r o t
61	brod	1	b r o d
62	brot	1	b r o t
63	brod	1	b r o d
64	bruad	1	b r ua d
65	bruad	1	b r ua d
66	bruit	1	b r ui t
67	brö	1	b r ö
68	brö	1	b r ö
69	brö	1	b r ö
70	bröd	1	b r ö d
71	bröd	1	b r ö d
72	brö	1	b r ö
73	bröd	1	b r ö d
74	bröd	1	b r ö d
75	brö	1	b r ö
76	brod	1	b r o d
77	brot	1	b r o t
78	brod	1	b r o d
79	brod	1	b r o d
80	brot	1	b r o t
81	brodt	1	b r o dt
82	brod	1	b r o d
83	brot	1	b r o t
84	brot	1	b r o t
85	brod	1	b r o d
86	brot	1	b r o t
87	brot	1	b r o t
88	brot	1	b r o t
89	brot	1	b r o t
90	brot	1	b r o t
91	brot	1	b r o t
92	brod	1	b r o d
93	brod	1	b r o d
94	brot	1	b r o t
95	bruid	1	b r ui d
96	brüüd	1	b r üü d
97	brüd	1	b r ü d
98	bröd	1	b r ö d
99	bröd	1	b r ö d
100	brod	1	b r o d
101	brod	1	b r o d
102	brod	1	b r o d
103	brod	1	b r o d
104	brot	1	b r o t
105	brot	1	b r o t
106	broid	1	b r oi d
107	brot	1	b r o t
108	brod	1	b r o d
109	brot	1	b r o t
110	brod	1	b r o d
111	brot	1	b r o t
112	brod	1	b r o d
113	brod	1	b r o d
114	brot	1	b r o t
115	brot	1	b r o t
116	brot	1	b r o t
117	brod	1	b r o d
118	brod	1	b r o d
119	brod	1	b r o d
120	brot	1	b r o t
121	brod	1	b r o d
122	brot	1	b r o t
123	brot	1	b r o t
124	brod	1	b r o d
125	brot	1	b r o t
126	bruad	1	b r ua d
127	bruad	1	b r ua d
128	bruad	1	b r ua d
129	brud	1	b r u d
130	brud	1	b r u d
131	brüd	1	b r ü d
132	brot	1	b r o t
133	brot	1	b r o t
134	brot	1	b r o t
135	brod	1	b r o d
136	brod	1	b r o d
137	brot	1	b r o t
138	brod	1	b r o d
139	brot	1	b r o t
140	brot	1	b r o t
141	brood	1	b r oo d
142	brot	1	b r o t
143	brod	1	b r o d
144	brod	1	b r o d
145	brod	1	b r o d
146	brot	1	b r o t
147	broot	1	b r oo t
148	brot	1	b r o t
149	brot	1	b r o t
150	brod	1	b r o d
151	brod	1	b r o d
152	brot	1	b r o t
153	brod	1	b r o d
154	brod	1	b r o d
155	brod	1	b r o d
156	brot	1	b r o t
157	brod	1	b r o d
158	brot	1	b r o t
159	brod	1	b r o d
160	brot	1	b r o t
161	brod	1	b r o d
162	bruad	1	b r ua d
163	bruad	1	b r ua d
164	bruad	1	b r ua d
165	bruid	1	b r ui d
166	brud	1	b r u d
167	brod	1	b r o d
168	brod	1	b r o d
169	brod	1	b r o d
170	brod	1	b r o d
171	brod	1	b r o d
172	brod	1	b r o d
173	brod	1	b r o d
174	brod	1	b r o d
175	brod	1	b r o d
176	brod	1	b r o d
177	brod	1	b r o d
178	brod	1	b r o d
179	brot	1	b r o t
180	brot	1	b r o t
181	brod	1	b r o d
182	brot	1	b r o t
183	brod	1	b r o d
184	brod	1	b r o d
185	brod	1	b r o d
186	brot	1	b r o t
187	brood	1	b r oo d
188	brod	1	b r o d
189	brod	1	b r o d
190	brod	1	b r o d
191	brod	1	b r o d
192	brot	1	b r o t
193	brot	1	b r o t
194	brod	1	b r o d
195	brod	1	b r o d
196	brod	1	b r o d
197	brod	1	b r o d
198	brot	1	b r o t
199	brot	1	b r o t
200	brot	1	b r o t
201	brodt	1	b r o dt
202	brod	1	b r o d
203	bruard	1	b r ua r d
204	bruad	1	b r ua d
205	brot	1	b r o t
206	brod	1	b r o d
207	brod	1	b r o d
208	brod	1	b r o d
209	brod	1	b r o d
210	brod	1	b r o d
211	brot	1	b r o t
212	brod	1	b r o d
213	brod	1	b r o d
214	brot	1	b r o t
215	brod	1	b r o d
