	WORD	COGID	ALIGN
1	106	1	o k
2	131	1	u ck
3	137	1	u kk
4	106	1	o k
5	137	1	u kk
6	135	1	u k
7	NA	1	NA
8	131	1	u ck
9	106	1	o k
10	115	1	oo k
11	131	1	u ck
12	NA	1	NA
13	106	1	o k
14	115	1	oo k
15	106	1	o k
16	135	1	u k
17	131	1	u ck
18	131	1	u ck
19	92	1	o ck
20	106	1	o k
21	106	1	o k
22	135	1	u k
23	115	1	oo k
24	106	1	o k
25	135	1	u k
26	131	1	u ck
27	131	1	u ck
28	131	1	u ck
29	106	1	o k
30	63	1	e ck
31	106	1	o k
32	131	1	u ck
33	106	1	o k
34	106	1	o k
35	106	1	o k
36	131	1	u ck
37	131	1	u ck
38	131	1	u ck
39	131	1	u ck
40	135	1	u k
41	3	1	aa
42	NA	1	NA
43	NA	1	NA
44	3	1	aa
45	13	1	aa ss e
46	NA	1	NA
47	3	1	aa
48	3	1	aa
49	141	1	uo k
50	92	1	o ck
51	106	1	o k
52	106	1	o k
53	106	1	o k
54	100	1	oh k
55	106	1	o k
56	106	1	o k
57	115	1	oo k
58	106	1	o k
59	106	1	o k
60	106	1	o k
61	131	1	u ck
62	NA	1	NA
63	131	1	u ck
64	135	1	u k
65	135	1	u k
66	92	1	o ck
67	12	1	aa ss ä
68	NA	1	NA
69	117	1	o ss e
70	NA	1	NA
71	3	1	aa
72	NA	1	NA
73	1	1	a
74	79	1	o
75	NA	1	NA
76	106	1	o k
77	106	1	o k
78	NA	1	NA
79	NA	1	NA
80	106	1	o k
81	106	1	o k
82	NA	1	NA
83	106	1	o k
84	106	1	o k
85	106	1	o k
86	106	1	o k
87	106	1	o k
88	131	1	u ck
89	106	1	o k
90	131	1	u ck
91	100	1	oh k
92	106	1	o k
93	115	1	oo k
94	106	1	o k
95	115	1	oo k
96	106	1	o k
97	106	1	o k
98	41	1	au
99	41	1	au
100	106	1	o k
101	131	1	u ck
102	92	1	o ck
103	106	1	o k
104	131	1	u ck
105	135	1	u k
106	135	1	u k
107	131	1	u ck
108	106	1	o k
109	106	1	o k
110	115	1	oo k
111	106	1	o k
112	115	1	oo k
113	115	1	oo k
114	115	1	oo k
115	106	1	o k
116	107	1	o kk
117	115	1	oo k
118	131	1	u ck
119	106	1	o k
120	131	1	u ck
121	106	1	o k
122	106	1	o k
123	131	1	u ck
124	106	1	o k
125	135	1	u k
126	106	1	o k
127	135	1	u k
128	92	1	o ck
129	NA	1	NA
130	92	1	o ck
131	94	1	o g
132	92	1	o ck
133	106	1	o k
134	131	1	u ck
135	106	1	o k
136	92	1	o ck
137	135	1	u k
138	NA	1	NA
139	135	1	u k
140	92	1	o ck
141	131	1	u ck
142	115	1	oo k
143	131	1	u ck
144	131	1	u ck
145	100	1	oh k
146	106	1	o k
147	NA	1	NA
148	115	1	oo k
149	NA	1	NA
150	100	1	oh k
151	NA	1	NA
152	106	1	o k
153	106	1	o k
154	106	1	o k
155	92	1	o ck
156	92	1	o ck
157	92	1	o ck
158	NA	1	NA
159	106	1	o k
160	100	1	oh k
161	NA	1	NA
162	NA	1	NA
163	106	1	o k
164	106	1	o k
165	92	1	o ck
166	92	1	o ck
167	92	1	o ck
168	106	1	o k
169	92	1	o ck
170	106	1	o k
171	92	1	o ck
172	131	1	u ck
173	106	1	o k
174	106	1	o k
175	106	1	o k
176	106	1	o k
177	131	1	u ck
178	NA	1	NA
179	NA	1	NA
180	106	1	o k
181	131	1	u ck
182	135	1	u k
183	131	1	u ck
184	131	1	u ck
185	135	1	u k
186	114	1	ooh k
187	106	1	o k
188	115	1	oo k
189	106	1	o k
190	92	1	o ck
191	92	1	o ck
192	106	1	o k
193	NA	1	NA
194	106	1	o k
195	106	1	o k
196	106	1	o k
197	106	1	o k
198	92	1	o ck
199	92	1	o ck
200	92	1	o ck
201	115	1	oo k
202	131	1	u ck
203	106	1	o k
204	NA	1	NA
205	92	1	o ck
206	92	1	o ck
207	107	1	o kk
208	92	1	o ck
209	106	1	o k
210	92	1	o ck
211	131	1	u ck
212	NA	1	NA
213	106	1	o k
214	106	1	o k
215	106	1	o k
216	115	1	oo k
217	106	1	o k
218	106	1	o k
219	106	1	o k
220	115	1	oo k
221	106	1	o k
222	NA	1	NA
223	92	1	o ck
224	131	1	u ck
225	131	1	u ck
226	131	1	u ck
227	NA	1	NA
228	NA	1	NA
229	106	1	o k
230	106	1	o k
231	106	1	o k
232	106	1	o k
233	92	1	o ck
234	106	1	o k
235	106	1	o k
236	106	1	o k
237	106	1	o k
238	106	1	o k
239	131	1	u ck
240	115	1	oo k
241	92	1	o ck
242	131	1	u ck
243	106	1	o k
244	106	1	o k
245	92	1	o ck
246	92	1	o ck
247	92	1	o ck
248	131	1	u ck
249	106	1	o k
250	92	1	o ck
251	92	1	o ck
252	92	1	o ck
253	92	1	o ck
254	106	1	o k
255	131	1	u ck
256	131	1	u ck
257	131	1	u ck
258	106	1	o k
259	131	1	u ck
260	106	1	o k
261	106	1	o k
262	NA	1	NA
263	106	1	o k
264	NA	1	NA
265	135	1	u k
266	NA	1	NA
267	135	1	u k
268	131	1	u ck
269	131	1	u ck
270	53	1	au k
271	106	1	o k
272	NA	1	NA
273	106	1	o k
274	92	1	o ck
275	106	1	o k
276	106	1	o k
277	106	1	o k
278	106	1	o k
279	106	1	o k
280	106	1	o k
281	106	1	o k
282	NA	1	NA
283	115	1	oo k
284	107	1	o kk
285	106	1	o k
286	106	1	o k
287	106	1	o k
288	106	1	o k
289	92	1	o ck
290	106	1	o k
291	106	1	o k
292	92	1	o ck
293	106	1	o k
294	92	1	o ck
295	106	1	o k
296	92	1	o ck
297	92	1	o ck
298	92	1	o ck
299	106	1	o k
300	92	1	o ck
301	92	1	o ck
302	92	1	o ck
303	92	1	o ck
304	131	1	u ck
305	92	1	o ck
306	106	1	o k
307	131	1	u ck
308	131	1	u ck
309	106	1	o k
310	106	1	o k
311	100	1	oh k
312	106	1	o k
313	106	1	o k
314	NA	1	NA
315	92	1	o ck
316	NA	1	NA
317	106	1	o k
318	115	1	oo k
319	131	1	u ck
320	106	1	o k
321	131	1	u ck
322	135	1	u k
323	131	1	u ck
324	131	1	u ck
325	131	1	u ck
326	135	1	u k
327	135	1	u k
328	131	1	u ck
329	NA	1	NA
330	131	1	u ck
331	131	1	u ck
332	115	1	oo k
333	106	1	o k
334	NA	1	NA
335	106	1	o k
336	106	1	o k
337	115	1	oo k
338	106	1	o k
339	106	1	o k
340	89	1	o ch
341	106	1	o k
342	NA	1	NA
343	92	1	o ck
344	115	1	oo k
345	106	1	o k
346	131	1	u ck
347	NA	1	NA
348	131	1	u ck
349	131	1	u ck
350	92	1	o ck
351	131	1	u ck
352	92	1	o ck
353	106	1	o k
354	131	1	u ck
355	92	1	o ck
356	131	1	u ck
357	115	1	oo k
358	106	1	o k
359	106	1	o k
360	92	1	o ck
361	131	1	u ck
362	106	1	o k
363	131	1	u ck
364	106	1	o k
365	131	1	u ck
366	135	1	u k
367	135	1	u k
368	NA	1	NA
369	135	1	u k
370	NA	1	NA
371	106	1	o k
372	106	1	o k
373	106	1	o k
374	131	1	u ck
375	106	1	o k
376	NA	1	NA
377	106	1	o k
378	NA	1	NA
379	135	1	u k
380	131	1	u ck
381	106	1	o k
382	92	1	o ck
383	135	1	u k
384	83	1	oa ck
385	106	1	o k
386	135	1	u k
387	131	1	u ck
388	131	1	u ck
389	131	1	u ck
390	106	1	o k
391	131	1	u ck
392	135	1	u k
393	106	1	o k
394	106	1	o k
395	106	1	o k
396	106	1	o k
397	106	1	o k
398	106	1	o k
399	100	1	oh k
400	106	1	o k
401	106	1	o k
402	92	1	o ck
403	106	1	o k
404	115	1	oo k
405	106	1	o k
406	106	1	o k
407	106	1	o k
408	106	1	o k
409	92	1	o ck
410	92	1	o ck
411	92	1	o ck
412	53	1	au k
413	92	1	o ck
414	92	1	o ck
415	106	1	o k
416	NA	1	NA
417	92	1	o ck
418	92	1	o ck
419	92	1	o ck
420	106	1	o k
421	92	1	o ck
422	92	1	o ck
423	106	1	o k
424	135	1	u k
425	92	1	o ck
426	106	1	o k
427	106	1	o k
428	115	1	oo k
429	131	1	u ck
430	131	1	u ck
431	131	1	u ck
432	131	1	u ck
433	131	1	u ck
434	135	1	u k
435	135	1	u k
436	135	1	u k
437	106	1	o k
438	92	1	o ck
439	106	1	o k
440	115	1	oo k
441	NA	1	NA
442	106	1	o k
443	131	1	u ck
444	NA	1	NA
445	106	1	o k
446	89	1	o ch
447	106	1	o k
448	NA	1	NA
449	141	1	uo k
450	131	1	u ck
451	131	1	u ck
452	NA	1	NA
453	106	1	o k
454	92	1	o ck
455	131	1	u ck
456	131	1	u ck
457	131	1	u ck
458	89	1	o ch
459	106	1	o k
460	115	1	oo k
461	106	1	o k
462	106	1	o k
463	NA	1	NA
464	106	1	o k
465	115	1	oo k
466	106	1	o k
467	106	1	o k
468	106	1	o k
469	92	1	o ck
470	92	1	o ck
471	106	1	o k
472	106	1	o k
473	106	1	o k
474	106	1	o k
475	106	1	o k
476	106	1	o k
477	115	1	oo k
478	106	1	o k
479	92	1	o ck
480	106	1	o k
481	106	1	o k
482	92	1	o ck
483	92	1	o ck
484	106	1	o k
485	NA	1	NA
486	106	1	o k
487	131	1	u ck
488	92	1	o ck
489	131	1	u ck
490	106	1	o k
491	115	1	oo k
492	100	1	oh k
493	131	1	u ck
494	92	1	o ck
495	135	1	u k
496	131	1	u ck
497	131	1	u ck
498	135	1	u k
499	135	1	u k
500	NA	1	NA
501	131	1	u ck
502	NA	1	NA
503	131	1	u ck
504	131	1	u ck
505	106	1	o k
506	135	1	u k
507	NA	1	NA
508	106	1	o k
509	92	1	o ck
510	106	1	o k
511	106	1	o k
512	106	1	o k
513	106	1	o k
514	92	1	o ck
515	106	1	o k
516	NA	1	NA
517	NA	1	NA
518	92	1	o ck
519	92	1	o ck
520	NA	1	NA
521	131	1	u ck
522	135	1	u k
523	106	1	o k
524	131	1	u ck
525	106	1	o k
526	NA	1	NA
527	131	1	u ck
528	129	1	u ch
529	89	1	o ch
530	89	1	o ch
531	89	1	o ch
532	89	1	o ch
533	82	1	oa ch
534	89	1	o ch
535	92	1	o ck
536	NA	1	NA
537	106	1	o k
538	106	1	o k
539	106	1	o k
540	92	1	o ck
541	92	1	o ck
542	106	1	o k
543	106	1	o k
544	115	1	oo k
545	106	1	o k
546	106	1	o k
547	106	1	o k
548	92	1	o ck
549	106	1	o k
550	106	1	o k
551	92	1	o ck
552	92	1	o ck
553	131	1	u ck
554	92	1	o ck
555	131	1	u ck
556	106	1	o k
557	106	1	o k
558	106	1	o k
559	106	1	o k
560	106	1	o k
561	106	1	o k
562	106	1	o k
563	115	1	oo k
564	135	1	u k
565	115	1	oo k
566	131	1	u ck
567	131	1	u ck
568	106	1	o k
569	131	1	u ck
570	106	1	o k
571	135	1	u k
572	135	1	u k
573	NA	1	NA
574	131	1	u ck
575	131	1	u ck
576	106	1	o k
577	100	1	oh k
578	106	1	o k
579	92	1	o ck
580	NA	1	NA
581	92	1	o ck
582	106	1	o k
583	115	1	oo k
584	106	1	o k
585	106	1	o k
586	92	1	o ck
587	92	1	o ck
588	92	1	o ck
589	131	1	u ck
590	131	1	u ck
591	115	1	oo k
592	131	1	u ck
593	131	1	u ck
594	131	1	u ck
595	106	1	o k
596	131	1	u ck
597	109	1	oo ch
598	89	1	o ch
599	89	1	o ch
600	NA	1	NA
601	89	1	o ch
602	89	1	o ch
603	109	1	oo ch
604	89	1	o ch
605	89	1	o ch
606	NA	1	NA
607	106	1	o k
608	106	1	o k
609	115	1	oo k
610	106	1	o k
611	92	1	o ck
612	107	1	o kk
613	115	1	oo k
614	131	1	u ck
615	131	1	u ck
616	106	1	o k
617	106	1	o k
618	92	1	o ck
619	92	1	o ck
620	92	1	o ck
621	106	1	o k
622	106	1	o k
623	131	1	u ck
624	131	1	u ck
625	115	1	oo k
626	106	1	o k
627	115	1	oo k
628	106	1	o k
629	106	1	o k
630	115	1	oo k
631	115	1	oo k
632	115	1	oo k
633	NA	1	NA
634	106	1	o k
635	106	1	o k
636	106	1	o k
637	106	1	o k
638	135	1	u k
639	131	1	u ck
640	135	1	u k
641	135	1	u k
642	135	1	u k
643	131	1	u ck
644	NA	1	NA
645	131	1	u ck
646	131	1	u ck
647	135	1	u k
648	106	1	o k
649	106	1	o k
650	131	1	u ck
651	135	1	u k
652	135	1	u k
653	131	1	u ck
654	106	1	o k
655	106	1	o k
656	106	1	o k
657	92	1	o ck
