	WORD	COGID	ALIGN
worst	154	1	w o r - s t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worst	154	1	w o r - s t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
wurscht	245	1	w u r - sch t
worscht	150	1	w o r - sch t
worst	154	1	w o r - s t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worst	154	1	w o r - s t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
marig	28	4	m a r i g
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worrscht	144	1	w o rr - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worst	154	1	w o r - s t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
marig	28	4	m a r i g
marrig	31	4	m a rr i g
issebine	22	9	i ss e b i n e
maasbaanj	27	2	m aa s b aa nj
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
pöls	33	5	p ö l s
riäs	35	7	r iä s
isdebon	20	9	i s d e b o n
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
worscht	150	1	w o r - sch t
