	WORD	COGID	ALIGN
1452	98	1	f l e s k
1453	98	1	f l e s k
1454	34	1	f l äi s k
1455	19	1	f l äe s k
1456	77	1	f l eij s k
1457	94	1	f l e sch
1458	64	1	f l ee sch
1459	98	1	f l e s k
1460	94	1	f l e sch
1461	64	1	f l ee sch
1462	94	1	f l e sch
1463	99	1	f l e ss
1464	64	1	f l ee sch
1465	94	1	f l e sch
1466	31	1	f l äi sch
1467	31	1	f l äi sch
1468	64	1	f l ee sch
1469	64	1	f l ee sch
1470	31	1	f l äi sch
1471	31	1	f l äi sch
1472	34	1	f l äi s k
1473	64	1	f l ee sch
1474	64	1	f l ee sch
1475	94	1	f l e sch
1476	64	1	f l ee sch
1477	64	1	f l ee sch
1478	64	1	f l ee sch
1479	94	1	f l e sch
1480	64	1	f l ee sch
1481	64	1	f l ee sch
1482	94	1	f l e sch
1483	64	1	f l ee sch
1484	64	1	f l ee sch
1485	64	1	f l ee sch
1486	64	1	f l ee sch
1487	64	1	f l ee sch
1488	64	1	f l ee sch
1489	64	1	f l ee sch
1490	94	1	f l e sch
1491	94	1	f l e sch
1492	64	1	f l ee sch
1493	94	1	f l e sch
1494	64	1	f l ee sch
1495	64	1	f l ee sch
1496	94	1	f l e sch
1497	94	1	f l e sch
1498	94	1	f l e sch
1499	94	1	f l e sch
1500	64	1	f l ee sch
1501	94	1	f l e sch
1502	94	1	f l e sch
1503	64	1	f l ee sch
1504	94	1	f l e sch
1505	94	1	f l e sch
1506	94	1	f l e sch
1507	64	1	f l ee sch
1508	94	1	f l e sch
1509	79	1	f l ei sch
1510	79	1	f l ei sch
1511	69	1	f l eh sch
1512	94	1	f l e sch
1513	94	1	f l e sch
1514	94	1	f l e sch
1515	94	1	f l e sch
1516	84	1	f l ei s k
1517	96	1	f l e sc k
1518	95	1	f l e sch k
1519	34	1	f l äi s k
1520	34	1	f l äi s k
1521	60	1	f l eei s k
1522	66	1	f l ee s k
1523	98	1	f l e s k
1524	64	1	f l ee sch
1525	94	1	f l e sch
1526	66	1	f l ee s k
1527	64	1	f l ee sch
1528	94	1	f l e sch
1529	38	1	f l äi ss k
1530	79	1	f l ei sch
1531	31	1	f l äi sch
1532	79	1	f l ei sch
1533	31	1	f l äi sch
1534	94	1	f l e sch
1535	64	1	f l ee sch
1536	64	1	f l ee sch
1537	66	1	f l ee s k
1538	66	1	f l ee s k
1539	64	1	f l ee sch
1540	94	1	f l e sch
1541	64	1	f l ee sch
1542	64	1	f l ee sch
1543	64	1	f l ee sch
1544	64	1	f l ee sch
1545	94	1	f l e sch
1546	64	1	f l ee sch
1547	64	1	f l ee sch
1548	64	1	f l ee sch
1549	64	1	f l ee sch
