locations	strins	cognateID	alignments
016/193	fang	1	f a n g
016/195	fang	1	f a n g
016/197	fang	1	f a n g
016/199	fang	1	f a n g
016/201	fang	1	f a n g
016/203	fang	1	f a n g
016/205	fang	1	f a n g
016/209	fäng	1	f ä n g
016/211	fäng	1	f ä n g
016/213	fang	1	f a n g
016/215	fang	1	f a n g
016/217	fang	1	f a n g
016/219	fang	1	f a n g
017/055	fang	1	f a n g
017/057	fank	1	f a n k
017/059	fank	1	f a n k
017/061	fank	1	f a n k
017/063	fang	1	f a n g
017/065	fank	1	f a n k
017/067	fank	1	f a n k
017/069	fank	1	f a n k
017/081	fank	1	f a n k
017/083	fang	1	f a n g
017/099	fäng	1	f ä n g
017/101	fäng	1	f ä n g
017/103	fing	1	f i n g
017/107	feng	1	f e n g
017/109	fäng	1	f ä n g
017/145	feng	1	f e n g
017/147	feng	1	f e n g
017/149	fäng	1	f ä n g
017/151	fäng	1	f ä n g
017/153	fäng	1	f ä n g
017/155	feng	1	f e n g
017/157	fing	1	f i n g
017/159	fäng	1	f ä n g
017/161	fing	1	f i n g
017/163	fenk	1	f e n k
017/165	fänk	1	f ä n k
017/169	fäng	1	f ä n g
017/171	fäng	1	f ä n g
017/183	fang	1	f a n g
017/185	fang	1	f a n g
017/187	fang	1	f a n g
017/189	fang	1	f a n g
017/191	fang	1	f a n g
017/193	fang	1	f a n g
017/195	fang	1	f a n g
017/197	fang	1	f a n g
017/199	fang	1	f a n g
017/201	fang	1	f a n g
017/203	NA	NA	-
017/205	fang	1	f a n g
017/207	fang	1	f a n g
017/209	fang	1	f a n g
017/211	fang	1	f a n g
017/213	fang	1	f a n g
017/215	fäng	1	f ä n g
017/217	fang	1	f a n g
017/219	fang	1	f a n g
018/051	fank	1	f a n k
018/053	fank	1	f a n k
018/055	fank	1	f a n k
018/057	fang	1	f a n g
018/059	fank	1	f a n k
018/061	fank	1	f a n k
018/063	fang	1	f a n g
018/065	fang	1	f a n g
018/067	fang	1	f a n g
018/069	fang	1	f a n g
018/071	fang	1	f a n g
018/073	fank	1	f a n k
018/075	fang	1	f a n g
018/079	fang	1	f a n g
018/081	fang	1	f a n g
018/097	fäng	1	f ä n g
018/099	fäng	1	f ä n g
018/103	fang	1	f a n g
018/105	fäng	1	f ä n g
018/107	fäng	1	f ä n g
018/109	fäng	1	f ä n g
018/111	fang	1	f a n g
018/143	fang	1	f a n g
018/145	fang	1	f a n g
018/147	fäng	1	f ä n g
018/149	fang	1	f a n g
018/151	fing	1	f i n g
018/153	fäng	1	f ä n g
018/155	fäng	1	f ä n g
018/157	fäng	1	f ä n g
018/159	feng	1	f e n g
018/161	fänk	1	f ä n k
018/163	fäng	1	f ä n g
018/165	fäng	1	f ä n g
018/169	fang	1	f a n g
018/171	fang	1	f a n g
018/173	fang	1	f a n g
018/181	fank	1	f a n k
018/185	fang	1	f a n g
018/187	fang	1	f a n g
018/189	fang	1	f a n g
018/191	fang	1	f a n g
018/193	fang	1	f a n g
018/195	fäng	1	f ä n g
018/197	fang	1	f a n g
018/199	fang	1	f a n g
018/201	fang	1	f a n g
018/203	fang	1	f a n g
018/205	fang	1	f a n g
018/207	fang	1	f a n g
018/209	fang	1	f a n g
018/211	fäng	1	f ä n g
018/213	fäng	1	f ä n g
018/215	fäng	1	f ä n g
018/219	fank	1	f a n k
019/051	fang	1	f a n g
019/053	kommt	4	k o mm t
019/055	ward	6	w ar d
019/057	fank	1	f a n k
019/059	fank	1	f a n k
019/061	fank	1	f a n k
019/063	fang	1	f a n g
019/065	fank	1	f a n k
019/067	fang	1	f a n g
019/069	fang	1	f a n g
019/071	fang	1	f a n g
019/073	fang	1	f a n g
019/075	fank	1	f a n k
019/077	fang	1	f a n g
019/079	fang	1	f a n g
019/081	fank	1	f a n k
019/097	fäng	1	f ä n g
019/099	fäng	1	f ä n g
019/101	fäng	1	f ä n g
019/103	fing	1	f i n g
019/105	fing	1	f i n g
019/107	fang	1	f a n g
019/109	fäng	1	f ä n g
019/143	fang	1	f a n g
019/145	fäng	1	f ä n g
019/147	fäng	1	f ä n g
019/149	feng	1	f e n g
019/151	fäng	1	f ä n g
019/153	NA	NA	-
019/155	fäng	1	f ä n g
019/157	fäng	1	f ä n g
019/159	fäng	1	f ä n g
019/161	fing	1	f i n g
019/163	fenk	1	f e n k
019/165	fäng	1	f ä n g
019/167	fang	1	f a n g
019/169	fang	1	f a n g
019/171	fank	1	f a n k
019/173	fang	1	f a n g
019/175	fang	1	f a n g
019/177	fang	1	f a n g
019/179	fang	1	f a n g
019/181	fang	1	f a n g
019/183	fang	1	f a n g
019/185	fang	1	f a n g
019/187	feng	1	f e n g
019/189	fang	1	f a n g
019/191	fang	1	f a n g
019/193	fang	1	f a n g
019/195	fang	1	f a n g
019/197	fang	1	f a n g
019/199	fang	1	f a n g
019/201	fang	1	f a n g
019/203	fang	1	f a n g
019/205	fang	1	f a n g
019/207	fang	1	f a n g
019/209	fang	1	f a n g
019/211	fang	1	f a n g
019/213	fäng	1	f ä n g
019/215	fänk	1	f ä n k
019/217	fang	1	f a n g
019/219	fäng	1	f ä n g
020/043	fang	1	f a n g
020/053	fang	1	f a n g
020/055	fang	1	f a n g
020/057	fank	1	f a n k
020/059	fank	1	f a n k
020/061	fank	1	f a n k
020/063	fang	1	f a n g
020/065	fank	1	f a n k
020/067	fang	1	f a n g
020/069	fank	1	f a n k
020/071	fank	1	f a n k
020/073	fang	1	f a n g
020/075	ward	6	w ar d
020/077	fang	1	f a n g
020/079	fang	1	f a n g
020/081	fang	1	f a n g
020/095	fang	1	f a n g
020/097	fäng	1	f ä n g
020/099	fäng	1	f ä n g
020/101	fäng	1	f ä n g
020/103	fäng	1	f ä n g
020/105	feng	1	f e n g
020/107	fäng	1	f ä n g
020/135	fäng	1	f ä n g
020/137	feng	1	f e n g
020/139	feng	1	f e n g
020/141	fäng	1	f ä n g
020/143	feng	1	f e n g
020/145	fäng	1	f ä n g
020/147	fäng	1	f ä n g
020/149	feng	1	f e n g
020/151	fäng	1	f ä n g
020/153	feng	1	f e n g
020/155	fäng	1	f ä n g
020/157	fing	1	f i n g
020/159	fäng	1	f ä n g
020/161	fäng	1	f ä n g
020/163	fang	1	f a n g
020/165	fang	1	f a n g
020/167	fäng	1	f ä n g
020/169	fang	1	f a n g
020/171	fang	1	f a n g
020/173	fang	1	f a n g
020/175	fang	1	f a n g
020/177	fang	1	f a n g
020/179	fang	1	f a n g
020/181	fang	1	f a n g
020/183	fang	1	f a n g
020/185	fang	1	f a n g
020/187	fäng	1	f ä n g
020/189	fäng	1	f ä n g
020/191	fang	1	f a n g
020/193	fang	1	f a n g
020/195	fang	1	f a n g
020/197	fang	1	f a n g
020/199	fang	1	f a n g
020/201	fang	1	f a n g
020/203	fang	1	f a n g
020/205	NA	NA	-
020/207	fang	1	f a n g
020/209	fang	1	f a n g
020/211	NA	NA	-
020/213	fäng	1	f ä n g
020/215	fang	1	f a n g
020/217	NA	NA	-
020/219	fang	1	f a n g
021/055	fank	1	f a n k
021/057	ward	6	w ar d
021/059	fang	1	f a n g
021/061	fang	1	f a n g
021/063	fang	1	f a n g
021/065	ward	6	w ar d
021/067	fang	1	f a n g
021/069	fang	1	f a n g
021/071	fank	1	f a n k
021/073	fang	1	f a n g
021/075	fank	1	f a n k
021/077	fang	1	f a n g
021/079	fang	1	f a n g
021/087	fang	1	f a n g
021/089	ward	6	w ar d
021/091	fang	1	f a n g
021/093	fang	1	f a n g
021/095	fäng	1	f ä n g
021/097	fäng	1	f ä n g
021/099	fang	1	f a n g
021/101	fäng	1	f ä n g
021/103	fing	1	f i n g
021/105	fing	1	f i n g
021/107	fäng	1	f ä n g
021/109	fing	1	f i n g
021/111	fing	1	f i n g
021/113	fing	1	f i n g
021/131	fäng	1	f ä n g
021/133	feng	1	f e n g
021/135	fäng	1	f ä n g
021/137	feng	1	f e n g
021/139	feng	1	f e n g
021/141	fäng	1	f ä n g
021/143	fäng	1	f ä n g
021/145	fäng	1	f ä n g
021/147	fäng	1	f ä n g
021/149	fang	1	f a n g
021/151	fang	1	f a n g
021/153	fink	1	f i n k
021/155	fing	1	f i n g
021/157	fäng	1	f ä n g
021/159	feng	1	f e n g
021/163	fing	1	f i n g
021/165	fang	1	f a n g
021/167	feng	1	f e n g
021/169	fang	1	f a n g
021/171	fank	1	f a n k
021/173	fang	1	f a n g
021/175	fang	1	f a n g
021/177	fang	1	f a n g
021/179	fang	1	f a n g
021/181	fäng	1	f ä n g
021/183	fang	1	f a n g
021/185	fäng	1	f ä n g
021/187	fäng	1	f ä n g
021/189	fäng	1	f ä n g
021/191	fäng	1	f ä n g
021/193	fäng	1	f ä n g
021/195	fäng	1	f ä n g
021/197	fäng	1	f ä n g
021/199	fang	1	f a n g
021/201	fang	1	f a n g
021/203	fang	1	f a n g
021/205	fang	1	f a n g
021/207	wart	6	w ar t
021/211	NA	NA	-
021/215	fang	1	f a n g
021/217	fang	1	f a n g
021/219	fang	1	f a n g
022/055	fang	1	f a n g
022/057	fank	1	f a n k
022/059	fang	1	f a n g
022/061	fank	1	f a n k
022/063	fank	1	f a n k
022/065	fang	1	f a n g
022/067	fang	1	f a n g
022/069	ward	6	w ar d
022/071	fang	1	f a n g
022/073	ward	6	w ar d
022/075	fanng	1	f a nn g
022/077	fang	1	f a n g
022/087	fäng	1	f ä n g
022/089	fäng	1	f ä n g
022/091	fing	1	f i n g
022/093	fang	1	f a n g
022/095	fang	1	f a n g
022/097	fäng	1	f ä n g
022/099	fäng	1	f ä n g
022/101	ward	6	w ar d
022/103	fäng	1	f ä n g
022/105	fäng	1	f ä n g
022/107	feng	1	f e n g
022/109	fing	1	f i n g
022/111	fäng	1	f ä n g
022/113	fäng	1	f ä n g
022/115	fing	1	f i n g
022/127	fäng	1	f ä n g
022/129	fäng	1	f ä n g
022/131	fink	1	f i n k
022/133	deht	5	d eh t
022/135	fäng	1	f ä n g
022/137	fäng	1	f ä n g
022/139	fenk	1	f e n k
022/141	fäng	1	f ä n g
022/143	fäng	1	f ä n g
022/145	fäng	1	f ä n g
022/147	fäng	1	f ä n g
022/149	fang	1	f a n g
022/151	fang	1	f a n g
022/153	fäng	1	f ä n g
022/155	fäng	1	f ä n g
022/157	fing	1	f i n g
022/159	NA	NA	-
022/165	fäng	1	f ä n g
022/167	fang	1	f a n g
022/169	fäng	1	f ä n g
022/171	fäng	1	f ä n g
022/173	fäng	1	f ä n g
022/175	fäng	1	f ä n g
022/177	fank	1	f a n k
022/179	fang	1	f a n g
022/181	fang	1	f a n g
022/183	fäng	1	f ä n g
022/185	fäng	1	f ä n g
022/187	fäng	1	f ä n g
022/189	fäng	1	f ä n g
022/191	fäng	1	f ä n g
022/193	fäng	1	f ä n g
022/195	fäng	1	f ä n g
022/197	fäng	1	f ä n g
022/199	föng	1	f ö n g
022/201	fang	1	f a n g
022/203	fang	1	f a n g
022/205	fang	1	f a n g
022/209	fäng	1	f ä n g
022/211	fang	1	f a n g
022/215	fang	1	f a n g
022/217	fang	1	f a n g
022/219	fang	1	f a n g
023/055	ward	6	w ar d
023/059	ward	6	w ar d
023/061	fang	1	f a n g
023/063	fang	1	f a n g
023/065	fang	1	f a n g
023/067	fang	1	f a n g
023/069	fang	1	f a n g
023/071	fang	1	f a n g
023/073	fank	1	f a n k
023/075	fang	1	f a n g
023/077	ward	6	w ar d
023/079	fang	1	f a n g
023/081	fang	1	f a n g
023/083	fang	1	f a n g
023/085	fang	1	f a n g
023/087	fäng	1	f ä n g
023/089	fang	1	f a n g
023/091	fäng	1	f ä n g
023/093	fing	1	f i n g
023/095	fing	1	f i n g
023/097	wat	6	w a t
023/099	fäng	1	f ä n g
023/101	fäng	1	f ä n g
023/103	fing	1	f i n g
023/105	fing	1	f i n g
023/107	fing	1	f i n g
023/109	fing	1	f i n g
023/111	finng	1	f i nn g
023/113	fing	1	f i n g
023/115	fäng	1	f ä n g
023/117	fing	1	f i n g
023/121	fing	1	f i n g
023/123	fäng	1	f ä n g
023/125	feng	1	f e n g
023/127	fäng	1	f ä n g
023/129	fäng	1	f ä n g
023/131	fenk	1	f e n k
023/133	feng	1	f e n g
023/135	fing	1	f i n g
023/137	fäng	1	f ä n g
023/139	feng	1	f e n g
023/141	fäng	1	f ä n g
023/143	fäng	1	f ä n g
023/145	fäng	1	f ä n g
023/147	feng	1	f e n g
023/149	fäng	1	f ä n g
023/151	fäng	1	f ä n g
023/153	fäng	1	f ä n g
023/155	fing	1	f i n g
023/165	waad	6	w aa d
023/167	fang	1	f a n g
023/169	fang	1	f a n g
023/175	fank	1	f a n k
023/177	fäng	1	f ä n g
023/179	NA	NA	-
023/181	fang	1	f a n g
023/183	werd	6	w er d
023/185	fäng	1	f ä n g
023/187	fäng	1	f ä n g
023/189	fäng	1	f ä n g
023/191	fäng	1	f ä n g
023/193	fäng	1	f ä n g
023/195	fäng	1	f ä n g
023/197	feng	1	f e n g
023/199	fang	1	f a n g
023/201	fang	1	f a n g
023/203	fang	1	f a n g
023/205	fang	1	f a n g
023/207	fang	1	f a n g
023/215	ward	6	w ar d
023/217	fäng	1	f ä n g
024/053	fang	1	f a n g
024/057	fang	1	f a n g
024/059	fang	1	f a n g
024/061	fang	1	f a n g
024/063	ward	6	w ar d
024/065	fang	1	f a n g
024/067	fang	1	f a n g
024/069	fang	1	f a n g
024/071	fang	1	f a n g
024/073	fang	1	f a n g
024/075	fang	1	f a n g
024/077	fang	1	f a n g
024/079	fang	1	f a n g
024/081	fang	1	f a n g
024/083	fang	1	f a n g
024/085	fang	1	f a n g
024/087	fäng	1	f ä n g
024/089	fang	1	f a n g
024/091	fang	1	f a n g
024/093	fang	1	f a n g
024/095	fing	1	f i n g
024/097	fang	1	f a n g
024/099	fäng	1	f ä n g
024/101	fang	1	f a n g
024/103	fäng	1	f ä n g
024/105	fing	1	f i n g
024/107	fing	1	f i n g
024/109	feng	1	f e n g
024/111	fing	1	f i n g
024/113	fing	1	f i n g
024/115	fäng	1	f ä n g
024/117	NA	NA	-
024/119	fing	1	f i n g
024/121	fänk	1	f ä n k
024/123	fing	1	f i n g
024/125	fäng	1	f ä n g
024/127	fäng	1	f ä n g
024/129	feng	1	f e n g
024/131	fäng	1	f ä n g
024/133	fäng	1	f ä n g
024/135	feng	1	f e n g
024/137	fäng	1	f ä n g
024/139	feng	1	f e n g
024/141	feng	1	f e n g
024/143	fäng	1	f ä n g
024/145	fen	1	f e n -
024/147	feng	1	f e n g
024/149	fäng	1	f ä n g
024/151	fäng	1	f ä n g
024/153	fäng	1	f ä n g
024/155	fäng	1	f ä n g
024/163	fing	1	f i n g
024/165	fing	1	f i n g
024/167	fing	1	f i n g
024/169	fäng	1	f ä n g
024/171	fäng	1	f ä n g
024/175	fang	1	f a n g
024/179	fäng	1	f ä n g
024/181	fäng	1	f ä n g
024/183	fäng	1	f ä n g
024/185	werd	6	w er d
024/187	fäng	1	f ä n g
024/189	feng	1	f e n g
024/191	fäng	1	f ä n g
024/193	fäng	1	f ä n g
024/195	wat	6	w a t
024/197	fäng	1	f ä n g
024/199	fang	1	f a n g
024/201	fang	1	f a n g
024/203	fank	1	f a n k
024/217	fang	1	f a n g
024/221	fang	1	f a n g
025/043	fang	1	f a n g
025/051	fang	1	f a n g
025/053	fang	1	f a n g
025/055	fang	1	f a n g
025/057	fang	1	f a n g
025/059	fang	1	f a n g
025/061	fang	1	f a n g
025/063	fang	1	f a n g
025/065	fang	1	f a n g
025/067	fang	1	f a n g
025/069	fank	1	f a n k
025/071	ward	6	w ar d
025/073	fang	1	f a n g
025/075	fang	1	f a n g
025/077	fang	1	f a n g
025/079	fang	1	f a n g
025/081	fang	1	f a n g
025/083	fang	1	f a n g
025/085	fäng	1	f ä n g
025/087	fäng	1	f ä n g
025/089	fang	1	f a n g
025/091	fang	1	f a n g
025/093	fang	1	f a n g
025/095	fing	1	f i n g
025/099	fäng	1	f ä n g
025/101	fäng	1	f ä n g
025/103	fäng	1	f ä n g
025/105	fing	1	f i n g
025/107	fing	1	f i n g
025/109	fing	1	f i n g
025/111	fing	1	f i n g
025/113	fäng	1	f ä n g
025/115	fäng	1	f ä n g
025/123	feng	1	f e n g
025/125	fing	1	f i n g
025/127	fäng	1	f ä n g
025/129	fäng	1	f ä n g
025/131	venk	1	v e n k
025/133	feng	1	f e n g
025/135	fenk	1	f e n k
025/137	fäng	1	f ä n g
025/139	fäng	1	f ä n g
025/141	fäng	1	f ä n g
025/143	fang	1	f a n g
025/145	fäng	1	f ä n g
025/147	fäng	1	f ä n g
025/149	feng	1	f e n g
025/151	fäng	1	f ä n g
025/153	feng	1	f e n g
025/155	fäng	1	f ä n g
025/157	fen	1	f e n -
025/159	fäng	1	f ä n g
025/177	fäng	1	f ä n g
025/179	fäng	1	f ä n g
025/181	fäng	1	f ä n g
025/183	fäng	1	f ä n g
025/185	fäng	1	f ä n g
025/187	fäng	1	f ä n g
025/189	fäng	1	f ä n g
025/191	fäng	1	f ä n g
026/031	fank	1	f a n k
026/033	fank	1	f a n k
026/037	fang	1	f a n g
026/041	fank	1	f a n k
026/043	fang	1	f a n g
026/045	fang	1	f a n g
026/051	fang	1	f a n g
026/053	fang	1	f a n g
026/055	fang	1	f a n g
026/057	fang	1	f a n g
026/059	fang	1	f a n g
026/061	ward	6	w ar d
026/063	fang	1	f a n g
026/065	fang	1	f a n g
026/067	fang	1	f a n g
026/069	fang	1	f a n g
026/071	fang	1	f a n g
026/073	fang	1	f a n g
026/075	fang	1	f a n g
026/077	fang	1	f a n g
026/079	fang	1	f a n g
026/081	fang	1	f a n g
026/083	fang	1	f a n g
026/085	fäng	1	f ä n g
026/087	fang	1	f a n g
026/089	fang	1	f a n g
026/091	ward	6	w ar d
026/093	fang	1	f a n g
026/095	fang	1	f a n g
026/097	fing	1	f i n g
026/099	watt	6	w a tt
026/101	fing	1	f i n g
026/103	fäng	1	f ä n g
026/105	fäng	1	f ä n g
026/107	fing	1	f i n g
026/109	fäng	1	f ä n g
026/111	fing	1	f i n g
026/113	fäng	1	f ä n g
026/115	fäng	1	f ä n g
026/117	fäng	1	f ä n g
026/119	fäng	1	f ä n g
026/123	fäng	1	f ä n g
026/125	feng	1	f e n g
026/127	fäng	1	f ä n g
026/129	feng	1	f e n g
026/131	fäng	1	f ä n g
026/133	fäng	1	f ä n g
026/135	feng	1	f e n g
026/137	fenj	1	f e n j
026/139	fäng	1	f ä n g
026/141	feng	1	f e n g
026/143	feng	1	f e n g
026/145	fing	1	f i n g
026/147	feng	1	f e n g
026/153	fän	1	f ä n -
026/155	fin	1	f i n -
026/157	fin	1	f i n -
026/159	fin	1	f i n -
026/161	fin	1	f i n -
026/165	fäng	1	f ä n g
026/173	fang	1	f a n g
026/175	fäng	1	f ä n g
026/177	ward	6	w ar d
026/179	ward	6	w ar d
026/181	fäng	1	f ä n g
026/183	fäng	1	f ä n g
026/185	NA	NA	-
026/187	fäng	1	f ä n g
026/189	fäng	1	f ä n g
027/027	fang	1	f a n g
027/035	fang	1	f a n g
027/037	fank	1	f a n k
027/039	fang	1	f a n g
027/041	fang	1	f a n g
027/043	fang	1	f a n g
027/045	fank	1	f a n k
027/047	fang	1	f a n g
027/051	fang	1	f a n g
027/053	fang	1	f a n g
027/055	fäng	1	f ä n g
027/057	fang	1	f a n g
027/059	fang	1	f a n g
027/061	fang	1	f a n g
027/063	fang	1	f a n g
027/065	fang	1	f a n g
027/067	fang	1	f a n g
027/069	ward	6	w ar d
027/071	wart	6	w ar t
027/073	fang	1	f a n g
027/075	fang	1	f a n g
027/077	fang	1	f a n g
027/079	fang	1	f a n g
027/081	fang	1	f a n g
027/083	fang	1	f a n g
027/085	fang	1	f a n g
027/087	fäng	1	f ä n g
027/089	fang	1	f a n g
027/091	fang	1	f a n g
027/093	fang	1	f a n g
027/095	fang	1	f a n g
027/099	fing	1	f i n g
027/101	fing	1	f i n g
027/103	fäng	1	f ä n g
027/105	fing	1	f i n g
027/107	fäng	1	f ä n g
027/109	fäng	1	f ä n g
027/111	fäng	1	f ä n g
027/113	ward	6	w ar d
027/115	fäng	1	f ä n g
027/117	fäng	1	f ä n g
027/119	fäng	1	f ä n g
027/123	fäng	1	f ä n g
027/125	fäng	1	f ä n g
027/127	fing	1	f i n g
027/129	fing	1	f i n g
027/131	feng	1	f e n g
027/135	fing	1	f i n g
027/137	feng	1	f e n g
027/139	feng	1	f e n g
027/141	fäng	1	f ä n g
027/143	feng	1	f e n g
027/145	feng	1	f e n g
027/147	fing	1	f i n g
027/149	finng	1	f i nn g
027/151	fing	1	f i n g
027/153	finn	1	f i nn -
027/155	finn	1	f i nn -
027/157	finch	1	f i n ch
027/159	fing	1	f i n g
027/161	fing	1	f i n g
027/167	fing	1	f i n g
027/171	fäng	1	f ä n g
027/173	fäng	1	f ä n g
027/175	feng	1	f e n g
